"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"465","464.5","457","465","True","-0.5","none","32.92","32.19","33.52","44.8","45","97.6","32.24","True","69.696","63.5906","64.5369","0.9463","2074856050727.3218","FLOP/s","True","118","127","0x0000000000000000"
"682","681.3","675","682","True","-0.7","none","39.98","39.01","40.79","46.7","48","98.2","38.3","True","42.796","38.5408","39.0003","0.4595","3423419373424.405","FLOP/s","True","72","78","0x0000000000000000"
"900","899.2","892","900","True","-0.8","none","45.73","44.14","46.57","48.6","49","97.4","43.01","True","31.824","27.6432","28.1348","0.4917","4773016311251.481","FLOP/s","True","51","58","0x0000000000000000"
"1125","1124","1117","1125","True","-1","none","51.95","48.24","52.82","50.6","51","98.2","48.2","True","24.676","21.2603","21.5788","0.3185","6206004009407.047","FLOP/s","True","39","45","0x0000000000000000"
"1342","1340.7","1335","1342","True","-1.3","none","57.58","44.94","59.51","52.2","53","98.2","52.24","True","20.872","17.4649","17.7846","0.3197","7554663304695.607","FLOP/s","True","32","38","0x0000000000000000"
"1560","1552","1552","1552","True","-8","none","66.55","55.22","67.81","50","50","99","59.26","True","18.13","14.8419","15.109","0.2671","8889784835193.518","FLOP/s","True","27","33","0x0000000000000000"
"1777","1770","1770","1770","True","-7","none","78.58","26.52","83.19","50.8","51","99","70.07","True","15.943","12.7485","12.978","0.2296","10349579538317.625","FLOP/s","True","24","29","0x0000000000000000"
"1995","1987","1987","1987","True","-8","none","98.11","31.79","104.67","52.8","54","97.6","86.35","True","14.276","11.263","11.4162","0.1532","11714559506868.734","FLOP/s","True","21","26","0x0000000000000000"
"2212","2205","2205","2205","True","-7","none","108.64","49.11","115.48","54.1","55","97.8","93.97","True","13.189","10.1103","10.278","0.1677","13050178447295.842","FLOP/s","True","19","24","0x0000000000000000"
"2430","2422","2422","2422","True","-8","none","137.36","27.24","149.6","58","61","93.5","117.35","True","12.068","9.0751","9.2292","0.1541","14538803521033.877","FLOP/s","True","17","22","0x0000000000000000"
"2655","2591.9","2572","2625","False","-63.1","below","172.9","89.35","182.37","64.2","66","99","143.86","True","10.964","8.4234","8.5868","0.1634","15663585560912.404","FLOP/s","True","16","20","0x0000000000000000"
"2872","2597.2","2580","2670","False","-274.8","below","171.62","85.04","180.52","64.7","66","98.7","143.23","True","10.993","8.4318","8.6004","0.1686","15647986519900.072","FLOP/s","True","16","20","0x0000000000000000"
"3090","2597.1","2572","2685","False","-492.9","below","171.86","87.33","181.32","65.1","67","97.6","143.48","True","10.983","8.4351","8.6031","0.168","15641870829177.447","FLOP/s","True","16","20","0x0000000000000000"
