"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"465","464.5","457","465","True","-0.5","none","42.25","15.25","43.99","42.2","43","97.1","39.42","True","21.953","19.3006","19.654","0.3534","200277480144.74716","byte/s","True","35","40","0x0000000000000000"
"682","681.8","675","682","True","-0.2","none","45.24","15.28","46.98","40.7","41","96.6","41.64","True","19.204","16.7547","17.0748","0.3201","230710110440.37256","byte/s","True","31","35","0x0000000000000000"
"900","898.9","892","900","True","-1.1","none","46.66","21.97","48.62","39.9","40","96.4","42.83","True","18.66","15.8731","16.1217","0.2486","243523243013.702","byte/s","True","29","34","0x0000000000000000"
"1125","1123.6","1117","1125","True","-1.4","none","48.4","15.7","50.43","39","39","98.9","44.09","True","17.579","15.0693","15.3534","0.284","256512302800.03427","byte/s","True","28","32","0x0000000000000000"
"1342","1340.7","1335","1342","True","-1.3","none","50.47","30","52.22","39","39","98.2","45.84","True","17.005","14.1265","14.3976","0.2711","273632626992.472","byte/s","True","26","31","0x0000000000000000"
"1560","1552","1552","1552","True","-8","none","53.75","29.64","55.93","39","39","96.3","48.04","True","14.828","12.4146","12.6393","0.2247","311364248181.7241","byte/s","True","23","27","0x0000000000000000"
"1777","1770","1770","1770","True","-7","none","59.91","37.64","62.02","39.2","40","99","53.12","True","14.288","11.5682","11.7751","0.2069","334145425397.5267","byte/s","True","21","26","0x0000000000000000"
"1995","1987","1987","1987","True","-8","none","64.06","26.68","68.13","39.9","40","96","56.96","True","13.72","11.2769","11.4705","0.1936","342778569467.99756","byte/s","True","20","25","0x0000000000000000"
"2212","2205","2205","2205","True","-7","none","65.49","19.96","70.61","40.4","41","94.5","60.23","True","13.725","11.2062","11.3835","0.1773","344940563838.6791","byte/s","True","21","25","0x0000000000000000"
"2430","2422","2422","2422","True","-8","none","69.96","22.2","77.15","41.5","42","93.5","64.43","True","13.734","11.1106","11.3076","0.197","347908483144.6358","byte/s","True","21","25","0x0000000000000000"
"2655","2647","2647","2647","True","-8","none","84.81","44.61","88.89","43.2","44","96.4","75.41","True","13.741","11.0307","11.2195","0.1888","350427095637.2029","byte/s","True","20","25","0x0000000000000000"
"2872","2754.6","2752","2775","False","-117.4","below","85.87","28.35","93.2","44.1","45","94.3","79.18","True","13.726","11.0058","11.2098","0.2041","351222642668.68774","byte/s","True","21","25","0x0000000000000000"
"3090","2753.8","2752","2775","False","-336.2","below","86.16","28.44","93.32","44.6","46","90.8","79.4","True","13.712","11.0019","11.1919","0.1901","351346973607.5607","byte/s","True","21","25","0x0000000000000000"
