"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.2","1230","1237","16301","16301","16301","True","-0.8","none","53.37","48.38","54.51","45.3","46","99","35.04","True","36.801","19.2457","19.5615","0.3158","6855621012155.956","FLOP/s","True","35","67","0x0000000000000001;0x0000000000000000"
"1395","1388.5","1387","1395","16301","16301","16301","True","-6.5","none","58.03","49.82","59.38","47.6","49","98.9","52.38","True","19.747","16.8102","17.1134","0.3032","7848910985413.238","FLOP/s","True","31","36","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","63.36","59.46","66.32","49.3","50","97.1","57.08","True","19.173","15.9211","16.1708","0.2497","8287221906826.909","FLOP/s","True","29","35","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","72.55","37.79","76.15","52.1","53","96.5","64.77","True","16.495","13.4226","13.6612","0.2387","9829823764243.285","FLOP/s","True","25","30","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","83.6","35.53","89.96","52.1","53","96.5","74.19","True","15.927","12.8042","13.0514","0.2473","10304576226329.762","FLOP/s","True","24","29","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","99.46","48.43","106.32","53","54","96.2","87.5","True","14.26","11.3279","11.4999","0.172","11647489135301.713","FLOP/s","True","21","26","0x0000000000000001;0x0000000000000000"
"2167","2152","2152","2152","16301","16301","16301","True","-15","none","112.67","72.24","116.85","54","55","98.7","97.56","True","13.193","10.4601","10.6009","0.1407","12613719604138.729","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2286.6","2280","2287","16301","16301","16301","False","-30.4","below","115.09","53.25","122.11","54.3","55","96.6","98.87","True","12.658","9.8629","10.0311","0.1683","13377584476378.84","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2475","2456.7","2452","2460","16301","16301","16301","True","-18.3","none","124.57","86.13","129.08","55.5","57","97.8","105.29","True","11.539","9.1382","9.2989","0.1607","14438392399198.045","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2625","2587.1","2580","2595","16301","16301","16301","False","-37.9","below","130.71","79.89","136.61","56.7","58","98.6","108.78","True","11.53","8.7605","8.912","0.1515","15060974078923.924","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2782","2774.4","2767","2775","16301","16301","16301","True","-7.6","none","135.76","69.12","144.38","58","59","96","111.94","True","10.438","7.9302","8.0403","0.1101","16637777675053.934","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000000"
"2932","2924.4","2917","2925","16301","16301","16301","True","-7.6","none","158.84","83.11","170.2","61.2","63","96.2","128.99","True","9.897","7.4636","7.5955","0.132","17678054009725.56","FLOP/s","True","13","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2975.9","2970","2977","16301","16301","16301","False","-114.1","below","168.21","95.31","177.7","62.9","65","96","136.66","True","9.905","7.343","7.4605","0.1175","17968293329248.324","FLOP/s","True","13","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
