"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.8","1230","1237","16301","16301","16301","True","-1.2","none","53.24","48.96","54.26","43.4","45","98.2","48.54","True","21.454","18.3264","18.5762","0.2498","7199525875973.329","FLOP/s","True","34","40","0x0000000000000001;0x0000000000000000"
"1395","1389.1","1387","1395","16301","16301","16301","True","-5.9","none","57.74","34.81","59.5","46","47","98.1","52.69","True","19.298","16.0774","16.3315","0.2542","8206661743080.631","FLOP/s","True","31","36","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","65.03","47.09","66.78","48.4","49","99","58.45","True","17.138","14.4313","14.6279","0.1966","9142735384858.111","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","72.8","39.8","75.56","51.3","52","99","64.66","True","15.487","12.9569","13.1553","0.1984","10183112588730.94","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","87.79","48.52","91.03","54.3","55","99","77.07","True","14.427","11.8553","11.9888","0.1334","11129282467480.559","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","103.01","59.54","107.61","54.7","55","99","89.38","True","13.326","10.8326","10.9663","0.1337","12180083738444.203","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2152","2152","2152","16301","16301","16301","True","-15","none","113.52","76.87","117.52","54.3","55","97.2","98.14","True","12.938","10.2687","10.4041","0.1354","12848883481241.305","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2291.9","2287","2295","16301","16301","16301","True","-25.1","none","118.21","77.53","122.57","54.6","56","95.8","101.14","True","12.271","9.7016","9.8251","0.1235","13599977271056.719","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2475","2453.9","2452","2460","16301","16301","16301","True","-21.1","none","122.53","45.35","130.7","55.5","57","97.2","104.18","True","11.804","9.0476","9.1737","0.1261","14583006073882.385","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2625","2587.6","2580","2595","16301","16301","16301","False","-37.4","below","129.85","66.53","137.12","56.8","58","99","109.23","True","11.349","8.654","8.7978","0.1438","15246356612055.07","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2782","2774.5","2767","2775","16301","16301","16301","True","-7.5","none","139.14","89.33","145.92","58.5","60","99","114.54","True","10.185","7.8123","7.9105","0.0982","16888884696061.066","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2932","2924.4","2917","2925","16301","16301","16301","True","-7.6","none","158.72","61.09","172.15","62.2","64","99.1","128.41","True","9.664","7.3538","7.4617","0.1079","17941864856815.523","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"3090","2977","2977","2977","16301","16301","16301","False","-113","below","170.18","104.86","178.99","63.1","66","96.4","137.81","True","9.639","7.2319","7.3394","0.1076","18244396459369.215","FLOP/s","True","13","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
