"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"465","464.6","457","465","13801","13801","13801","True","-0.4","none","32.14","31.35","34.02","37","38","97.5","31.28","True","62.005","56.913","57.7104","0.7974","2318298247590.459","FLOP/s","True","109","116","0x0000000000000000"
"682","681.2","675","682","13801","13801","13801","True","-0.8","none","38.41","37.43","39.03","39.3","41","99","36.84","True","40.053","36.1494","36.5318","0.3824","3649895797825.573","FLOP/s","True","68","75","0x0000000000000000"
"900","898.9","892","900","13801","13801","13801","True","-1.1","none","44.07","41.76","44.92","42.7","44","98.1","41.44","True","29.912","26.3491","26.7368","0.3877","5007433946781.272","FLOP/s","True","50","56","0x0000000000000000"
"1125","1124","1117","1125","13801","13801","13801","True","-1","none","50.17","48.22","50.99","45.5","46","97.5","46.3","True","23.509","20.5507","20.8162","0.2654","6420275662970.108","FLOP/s","True","39","44","0x0000000000000000"
"1342","1340.9","1335","1342","13801","13801","13801","True","-1.1","none","55.23","31.97","56.63","47.8","49","97.7","50.56","True","19.754","16.9618","17.2167","0.255","7778748928700.1875","FLOP/s","True","33","37","0x0000000000000000"
"1560","1552","1552","1552","13801","13801","13801","True","-8","none","62.97","23.22","66.06","50.2","51","99","56.71","True","17.084","14.3893","14.5809","0.1916","9169413720471.057","FLOP/s","True","28","32","0x0000000000000000"
"1777","1770","1770","1770","13801","13801","13801","True","-7","none","79.48","53.12","81.9","53","54","97.8","70.49","True","14.965","12.4565","12.6519","0.1954","10592167369594.6","FLOP/s","True","24","28","0x0000000000000000"
"1995","1987","1987","1987","13801","13801","13801","True","-8","none","101.01","62.55","104.42","54.4","55","97.5","87.96","True","13.354","10.9231","11.0539","0.1308","12079122389086.25","FLOP/s","True","21","25","0x0000000000000000"
"2212","2205","2205","2205","13801","13801","13801","True","-7","none","108.27","37.47","115.87","55.2","56","97.5","92.8","True","12.291","9.825","9.9518","0.1268","13429088828356.4","FLOP/s","True","19","23","0x0000000000000000"
"2430","2422","2422","2422","13801","13801","13801","True","-8","none","140.96","65.31","149.69","59.5","61","98.5","118.41","True","11.224","8.8881","9.0214","0.1333","14844757346885.219","FLOP/s","True","17","21","0x0000000000000000"
"2655","2608.8","2565","2632","13801","13801","13801","False","-46.2","below","172.9","109.21","182.95","63.8","66","99","144.15","True","10.828","8.5449","8.7113","0.1664","15441036564655.71","FLOP/s","True","16","20","0x0000000000000000"
"2872","2593.7","2542","2730","13801","13801","13801","False","-278.3","below","170.9","78.74","182.32","65.2","68","98.1","142.74","True","10.702","8.2748","8.4125","0.1377","15945010156229.244","FLOP/s","True","15","20","0x0000000000000004;0x0000000000000000"
"3090","2593.5","2572","2655","13801","13801","13801","False","-496.5","below","174.09","106.42","180.75","65.2","67","96.7","145.26","True","10.644","8.3084","8.4571","0.1487","15880549313516.342","FLOP/s","True","16","20","0x0000000000000000"
