"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1200","1199.1","1192","1200","13801","13801","13801","True","-0.9","none","53.67","52.8","54.42","47.9","48","97","48.85","True","21.864","19.0064","19.2648","0.2584","6941933353194.831","FLOP/s","True","36","41","0x0000000000000000"
"1260","1258.4","1252","1260","13801","13801","13801","True","-1.6","none","54.5","46.31","55.55","46.9","47","98.1","49.4","True","20.821","17.8744","18.1667","0.2923","7381589861337.275","FLOP/s","True","34","39","0x0000000000000000"
"1320","1319.2","1312","1320","13801","13801","13801","True","-0.8","none","55.44","29.76","58.68","45.8","46","97","50.8","True","19.896","16.8406","17.1125","0.2719","7834738580425.086","FLOP/s","True","32","37","0x0000000000000000"
"1372","1371.1","1365","1372","13801","13801","13801","True","-0.9","none","57.37","55.35","58.47","45.1","46","98","51.68","True","19.315","16.3161","16.5935","0.2774","8086590455011.289","FLOP/s","True","30","36","0x0000000000000000"
"1432","1425","1425","1425","13801","13801","13801","True","-7","none","58.81","39.68","60.78","44.9","45","98.7","53.54","True","18.235","15.529","15.7386","0.2096","8496448380665.02","FLOP/s","True","30","34","0x0000000000000000"
"1492","1485","1485","1485","13801","13801","13801","True","-7","none","59.72","30.16","61.69","44.9","45","99","54.07","True","17.689","14.8957","15.0946","0.1989","8857681366518.432","FLOP/s","True","28","33","0x0000000000000000"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","63.18","44.67","65.2","44.9","45","98.1","57.1","True","17.101","14.4025","14.6057","0.2032","9161037295155.557","FLOP/s","True","28","32","0x0000000000000000"
"1605","1597","1597","1597","13801","13801","13801","True","-8","none","66.26","39.03","69.03","45.6","46","99","59.49","True","16.552","13.773","13.9713","0.1983","9579720410536.422","FLOP/s","True","26","31","0x0000000000000000"
"1665","1657","1657","1657","13801","13801","13801","True","-8","none","69.18","34.26","72.09","46","47","95.6","61.76","True","15.949","13.3323","13.5304","0.198","9896339774847.912","FLOP/s","True","26","30","0x0000000000000000"
"1725","1717","1717","1717","13801","13801","13801","True","-8","none","72.93","35.7","76.24","46.6","48","96.6","64.96","True","15.454","12.7742","12.9634","0.1892","10328780240014.605","FLOP/s","True","24","29","0x0000000000000000"
"1785","1777","1777","1777","13801","13801","13801","True","-8","none","79.22","37.72","82.63","47.9","49","97.8","70.01","True","14.938","12.2939","12.49","0.1961","10732223400190.574","FLOP/s","True","24","28","0x0000000000000000"
"1837","1830","1830","1830","13801","13801","13801","True","-7","none","83.35","40.93","86.88","48.8","50","99","73.26","True","14.398","11.9528","12.0811","0.1283","11038526478975.707","FLOP/s","True","23","27","0x0000000000000000"
"1897","1890","1890","1890","13801","13801","13801","True","-7","none","89.95","52.06","93.08","49.8","51","97.5","79.11","True","14.419","11.5026","11.6356","0.133","11470597891258.137","FLOP/s","True","22","27","0x0000000000000000"
