"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.2","1230","1237","13801","13801","13801","True","-0.8","none","54.01","46.21","54.92","46.7","47","98.2","49.1","True","21.412","18.5612","18.8303","0.269","7108436316200.02","FLOP/s","True","35","40","0x0000000000000000"
"1395","1388.3","1387","1395","13801","13801","13801","True","-6.7","none","56.81","27.55","58.86","45.9","46","98","51.96","True","19.245","16.2803","16.5318","0.2515","8104382316579.449","FLOP/s","True","31","36","0x0000000000000000"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","63.45","42.8","65.03","46.1","47","97.4","57.4","True","17.152","14.47","14.6666","0.1966","9118248586466.117","FLOP/s","True","28","32","0x0000000000000000"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","71.91","40.94","74.39","47.6","48","97.9","63.98","True","15.495","12.9488","13.1421","0.1933","10189501275920.6","FLOP/s","True","25","29","0x0000000000000000"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","86","42.93","90.66","49.4","51","99","75.72","True","14.473","11.8028","11.928","0.1252","11178853971099.88","FLOP/s","True","22","27","0x0000000000000000"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","101.01","50.83","106.81","51.7","53","98.5","87.74","True","13.401","10.7779","10.9093","0.1314","12241889470581.152","FLOP/s","True","20","25","0x0000000000000000"
"2167","2152","2152","2152","13801","13801","13801","True","-15","none","109.33","60.9","114.62","52.6","54","96.8","94.34","True","12.859","10.2347","10.3955","0.1608","12891513446692.525","FLOP/s","True","19","24","0x0000000000000000"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","123.3","79.26","128.11","55.7","57","97.4","104.88","True","11.762","9.3487","9.4821","0.1334","14113313383199.137","FLOP/s","True","18","22","0x0000000000000000"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","144.81","57.87","155.93","60","61","98.5","122.15","True","11.211","8.7325","8.8601","0.1276","15109271760633.06","FLOP/s","True","16","21","0x0000000000000000"
"2625","2583.5","2572","2610","13801","13801","13801","False","-41.5","below","174.32","108.57","181.26","64.5","67","97.6","144.8","True","10.678","8.3295","8.4487","0.1192","15840282672593.598","FLOP/s","True","16","20","0x0000000000000000"
"2782","2590.5","2572","2640","13801","13801","13801","False","-191.5","below","170.43","76.58","182.33","65.1","67","99.1","141.98","True","10.69","8.3175","8.4446","0.1271","15863173905379.178","FLOP/s","True","16","20","0x0000000000000000"
"2932","2584.4","2572","2617","13801","13801","13801","False","-347.6","below","175.27","116.33","182.39","64.8","67","97.1","146.35","True","10.657","8.3209","8.4482","0.1273","15856558256501.56","FLOP/s","True","16","20","0x0000000000000000"
"3090","2586.7","2565","2647","13801","13801","13801","False","-503.3","below","172.73","88.4","180.88","65.6","68","99","143.89","True","10.665","8.314","8.4491","0.1351","15869733231821.139","FLOP/s","True","16","20","0x0000000000000000"
