"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","16301","16301","16301","True","-1","none","53.89","42.34","54.97","43","43","98.7","48.93","True","21.368","18.4527","18.7329","0.2802","7150259069409.632","FLOP/s","True","35","40","0x0000000000000000"
"1395","1388","1387","1395","16301","16301","16301","True","-7","none","57.02","25.78","59.5","43.2","44","97","52.1","True","19.249","16.2114","16.4935","0.2821","8138817477917.537","FLOP/s","True","31","36","0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","63.63","38.85","65.69","43.7","44","95.2","57.34","True","17.609","14.6108","14.8102","0.1994","9030411614260.602","FLOP/s","True","28","33","0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","71.6","36.78","74.57","45.6","46","99","63.88","True","16.016","13.0752","13.2885","0.2134","10091004026477.094","FLOP/s","True","25","30","0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","86.25","45.34","89.38","47.4","48","99","75.73","True","14.406","11.913","12.0424","0.1294","11075422226131.498","FLOP/s","True","23","27","0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","101.26","54.68","105.34","50.1","51","97.5","87.8","True","13.379","10.8959","11.0371","0.1411","12109216241634.232","FLOP/s","True","21","25","0x0000000000000000"
"2167","2153.3","2145","2160","16301","16301","16301","True","-13.7","none","110.59","63.62","115.46","51.7","53","97.1","95.42","True","12.858","10.2929","10.4278","0.1349","12818682626550.96","FLOP/s","True","19","24","0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","124","89.86","128.01","54.3","56","97.3","105.82","True","11.782","9.3563","9.4855","0.1292","14101936613752.195","FLOP/s","True","18","22","0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","146.47","67.35","156.32","58.9","61","96.9","123.37","True","11.207","8.724","8.8637","0.1397","15123929668093.8","FLOP/s","True","16","21","0x0000000000000000"
"2625","2585.3","2572","2610","16301","16301","16301","False","-39.7","below","174.62","109.6","182.12","63.4","66","97.1","145.44","True","10.703","8.3253","8.455","0.1297","15848217736170.799","FLOP/s","True","16","20","0x0000000000000000"
"2782","2591","2572","2715","16301","16301","16301","False","-191","below","171.13","79","181.89","64.2","66","99","142.45","True","10.703","8.3228","8.4534","0.1306","15853038020209.47","FLOP/s","True","16","20","0x0000000000000000"
"2932","2583.5","2565","2647","16301","16301","16301","False","-348.5","below","175.68","125.07","182.92","64.6","66","96.8","147.1","True","10.678","8.3275","8.4598","0.1323","15844084156419.73","FLOP/s","True","16","20","0x0000000000000000"
"3090","2590.9","2572","2677","16301","16301","16301","False","-499.1","below","172.61","85.15","180.97","64.7","66","99","143.7","True","10.702","8.34","8.4705","0.1305","15820323900401.287","FLOP/s","True","16","20","0x0000000000000000"
