"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","16301","16301","16301","True","-1","none","54.54","43.48","55.79","44.9","45","97.1","49.58","True","21.413","18.3476","18.6153","0.2677","7191191990091.664","FLOP/s","True","34","40","0x0000000000000001;0x0000000000000000"
"1395","1388.5","1387","1395","16301","16301","16301","True","-6.5","none","57.96","28.01","60.31","44.9","45","96.7","52.95","True","19.292","16.0873","16.3585","0.2712","8201588827081.059","FLOP/s","True","31","36","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","62.66","38.68","64.56","45","46","96.6","56.48","True","17.14","14.4453","14.6671","0.2218","9133832177147.57","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","66","32.51","68.36","45.6","46","98","58.91","True","15.979","13.1021","13.3012","0.199","10070223867549.496","FLOP/s","True","25","30","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","69.18","32.07","72.41","46","47","99","61","True","14.962","12.0476","12.2596","0.212","10951718905150.395","FLOP/s","True","23","28","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","73.6","32.81","77.33","46.4","47","96","64.23","True","13.927","11.0304","11.1652","0.1348","11961631774979.79","FLOP/s","True","21","26","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","86.76","38.51","91.48","48.2","49","97.2","74.63","True","12.877","10.087","10.238","0.151","13080390236162.895","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","101.66","56.77","106.49","50.4","51","99","87.19","True","12.283","9.4623","9.5912","0.1289","13943851042642.807","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","121.81","80.71","125.99","53.9","55","97.8","102.6","True","11.216","8.7894","8.9229","0.1335","15011422490085.865","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2625","2603.9","2602","2617","16301","16301","16301","True","-21.1","none","127.18","58.93","136.08","55","57","97.2","105.59","True","10.753","8.4625","8.5886","0.1262","15591382031284.854","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","147.54","92.66","154.18","58.6","60","99","121.44","True","10.183","7.7744","7.867","0.0926","16971181110855.045","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000000"
"2932","2916","2910","2917","16301","16301","16301","True","-16","none","162.24","73.95","174.99","61.9","64","99","131.35","True","9.613","7.4039","7.5039","0.1","17820537220339.773","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2946.5","2940","2947","16301","16301","16301","False","-143.5","below","170.42","124.65","177.4","62.4","64","96.7","137.82","True","9.681","7.3219","7.4293","0.1074","18020148964887.07","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
