"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","16301","16301","16301","True","-1","none","53.92","42.86","55.13","43.1","44","97.2","49","True","21.444","18.372","18.6302","0.2582","7181651337946.127","FLOP/s","True","34","40","0x0000000000000001;0x0000000000000000"
"1395","1388.5","1387","1395","16301","16301","16301","True","-6.5","none","57.35","24.05","59.98","43.7","44","96.9","52.4","True","19.257","16.0957","16.3616","0.2659","8197308287719.509","FLOP/s","True","31","36","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","64.33","34.45","66.56","44.5","45","97.3","57.92","True","17.138","14.4924","14.686","0.1935","9104175844306.006","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","71.74","28.35","76.07","46.2","47","99","63.81","True","15.52","12.9268","13.124","0.1972","10206798373183.469","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","85.42","30.15","90.22","48.5","50","99","75.04","True","14.439","11.8334","11.9621","0.1287","11149913217517.188","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","99.94","37.71","106.62","50.8","52","97.6","86.69","True","13.395","10.8446","10.9698","0.1252","12166552284078.664","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2151.6","2145","2152","16301","16301","16301","True","-15.4","none","110.38","46.31","116.82","52.1","54","97.5","95.17","True","12.904","10.2674","10.3948","0.1274","12850485802264.777","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2289.7","2280","2295","16301","16301","16301","True","-27.3","none","115.59","54.28","122.33","53.8","55","99","99.07","True","12.3","9.7032","9.8248","0.1216","13597728967597.209","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2475","2458.1","2452","2460","16301","16301","16301","True","-16.9","none","124.3","70.46","129.43","55.1","56","97.3","105.38","True","11.783","9.0133","9.1495","0.1363","14638582320894.275","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2625","2587.5","2587","2595","16301","16301","16301","False","-37.5","below","127.04","39.68","137.43","56.1","57","99","106.55","True","11.253","8.6333","8.7731","0.1398","15282863813568.207","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2782","2773.4","2767","2775","16301","16301","16301","True","-8.6","none","137.3","69","145.66","58.2","60","99","112.7","True","10.198","7.8152","7.9203","0.1052","16882770022148.95","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2932","2924.4","2917","2925","16301","16301","16301","True","-7.6","none","159.34","43.52","171.59","61.5","63","96.9","128.93","True","9.68","7.3641","7.4581","0.094","17916813137140.164","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2977","2977","2977","16301","16301","16301","False","-113","below","167.48","89.74","178.78","63.2","65","97.3","135.71","True","9.647","7.2412","7.3676","0.1264","18220997276421.867","FLOP/s","True","13","18","0x0000000000000001;0x0000000000000000"
