target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1380,1377.8,9386.797759619962,66.78,13801.0,1790178219.5808,1790178233.8782,0.72,1297.0,28,-420
1410,1402.0,9592.320743829228,68.7,13801.0,1790178244.5413,1790178258.4986,0.72,1327.0,27,-420
1440,1432.0,9807.743815960746,69.49,13801.0,1790178268.9509,1790178282.6288,0.72,1350.0,27,-420
1470,1462.0,10003.815522336603,69.63,13801.0,1790178293.3471,1790178306.7502,0.72,1402.0,27,-420
1507,1500.0,10266.471753590398,71.65,13801.0,1790178317.1297,1790178330.1878,0.72,1425.0,26,-420
1537,1530.0,10458.653752697828,74.02,13801.0,1790178340.4529,1790178353.2997,0.72,1455.0,26,-420
1567,1560.0,10657.186916166196,74.35,13801.0,1790178363.7167,1790178376.3144,0.72,1477.0,25,-420
1597,1590.0,10885.402577318488,77.22,13801.0,1790178387.0015,1790178399.3643,0.73,1500.0,25,-420
1627,1620.0,11077.820516279984,79.31,13801.0,1790178409.7845,1790178421.8326,0.735,1530.0,24,-420
1665,1657.0,11339.78039812585,81.78,13801.0,1790178432.5258,1790178444.3168,0.745,1582.0,23,-420
1695,1687.0,11567.78740131851,85.12,13801.0,1790178454.7577,1790178466.3064,0.755,1612.0,23,-420
1725,1717.0,11761.606133571155,89.04,13801.0,1790178476.9828,1790178488.3416,0.76,1642.0,23,-420
1755,1747.0,11972.884483205835,90.9,13801.0,1790178498.6249,1790178509.7816,0.77,1687.0,22,-420
