target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1380,1377.8,9391.76275757825,67.33,13801.0,1790179862.1758,1790179876.4241,0.72,1297.0,28,-420
1410,1402.0,9601.102309943384,68.69,13801.0,1790179887.159,1790179901.1041,0.72,1327.0,28,-420
1440,1432.0,9817.604640158905,68.21,13801.0,1790179911.5391,1790179925.2036,0.72,1350.0,27,-420
1470,1462.0,10010.311812006743,70.15,13801.0,1790179935.8818,1790179949.2848,0.72,1402.0,27,-420
1507,1500.0,10274.421358217582,72.47,13801.0,1790179959.7613,1790179972.8004,0.72,1425.0,26,-420
1537,1530.0,10466.483585244612,72.8,13801.0,1790179983.5563,1790179996.3779,0.72,1455.0,25,-420
1567,1560.0,10663.052129014506,75.13,13801.0,1790180006.8294,1790180019.409,0.72,1477.0,25,-420
1597,1590.0,10894.220183808971,77.97,13801.0,1790180030.1628,1790180042.5021,0.73,1500.0,24,-420
1627,1620.0,11087.325591748186,79.28,13801.0,1790180052.9039,1790180064.9534,0.735,1530.0,24,-420
1665,1657.0,11346.544381535743,82.85,13801.0,1790180075.6374,1790180087.3902,0.745,1582.0,23,-420
1695,1687.0,11577.039344075974,85.2,13801.0,1790180097.8691,1790180109.4053,0.755,1612.0,23,-420
1725,1717.0,11768.972301741205,89.43,13801.0,1790180120.1107,1790180131.4801,0.76,1642.0,23,-420
1755,1747.0,11981.710488604049,91.71,13801.0,1790180141.7991,1790180152.9437,0.77,1687.0,21,-420
