"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1380","1378.8","1372","1380","13801","13801","13801","True","-1.2","none","67.97","34.9","70.23","49.5","50","99.6","60.61","True","1790269811.6633","1790269825.9129","16.921","14.0538","14.2462","0.1924","9388289152683.24","FLOP/s","True","26","31","0x0000000000000400"
"1410","1402","1402","1402","13801","13801","13801","True","-8","none","68.5","32.81","71.39","48.8","49","95.1","61","True","1790269836.658","1790269850.624","16.343","13.7451","13.9639","0.2188","9599148507137.982","FLOP/s","True","26","30","0x0000000000000400"
"1440","1432","1432","1432","13801","13801","13801","True","-8","none","70.14","41.36","72.34","48.7","49","99","62.64","True","1790269861.0035","1790269874.669","16.337","13.4465","13.6679","0.2214","9812308113591.814","FLOP/s","True","25","30","0x0000000000000400"
"1470","1462","1462","1462","13801","13801","13801","True","-8","none","71.72","47.2","73.83","48.6","49","100","63.84","True","1790269885.3922","1790269898.8031","15.752","13.179","13.4112","0.2322","10011476832094.732","FLOP/s","True","25","29","0x0000000000000400"
"1507","1500","1500","1500","13801","13801","13801","True","-7","none","72.82","33.83","75.57","48.5","49","100","64.2","True","1790269909.1681","1790269922.2294","15.821","12.8432","13.0619","0.2187","10273283449791.541","FLOP/s","True","24","29","0x0000000000000004;0x0000000000000400"
"1537","1530","1530","1530","13801","13801","13801","True","-7","none","74.62","39.95","77.52","48.4","49","98.6","65.8","True","1790269933.0335","1790269945.8792","15.188","12.6336","12.8457","0.2121","10443679553649.65","FLOP/s","True","24","28","0x0000000000000004;0x0000000000000400"
"1567","1560","1560","1560","13801","13801","13801","True","-7","none","77.35","56.14","79.87","48.7","49","98.6","68.71","True","1790269956.2755","1790269968.9141","15.212","12.4116","12.6382","0.2266","10630519576101.367","FLOP/s","True","23","28","0x0000000000000004;0x0000000000000400"
"1597","1590","1590","1590","13801","13801","13801","True","-7","none","78.21","39.42","81.59","49.2","50","100","68.7","True","1790269979.5501","1790269991.8956","14.704","12.1298","12.3409","0.2112","10877474756647.049","FLOP/s","True","23","27","0x0000000000000004;0x0000000000000400"
"1627","1620","1620","1620","13801","13801","13801","True","-7","none","82.25","59.86","84.28","49.4","50","99.1","72.73","True","1790270002.3129","1790270014.3784","14.61","11.9321","12.0725","0.1405","11057725488064.047","FLOP/s","True","22","27","0x0000000000000004;0x0000000000000400"
"1665","1657","1657","1657","13801","13801","13801","True","-8","none","83.59","45.74","86.59","49.8","51","97.8","72.88","True","1790270024.9639","1790270036.7514","14.194","11.6566","11.7865","0.1299","11319001002187.643","FLOP/s","True","22","26","0x0000000000000004;0x0000000000000400"
"1695","1687","1687","1687","13801","13801","13801","True","-8","none","86.2","31.85","90.07","50.5","51","98.6","75.4","True","1790270047.1839","1790270058.7203","14.107","11.4068","11.5337","0.1268","11566862736368.852","FLOP/s","True","21","26","0x0000000000000400"
"1725","1717","1717","1717","13801","13801","13801","True","-8","none","90.05","59.08","93.2","51.2","52","99.8","78.14","True","1790270069.3702","1790270080.749","13.609","11.2163","11.3762","0.1599","11763344843393.842","FLOP/s","True","21","25","0x0000000000000004;0x0000000000000400"
"1755","1747","1747","1747","13801","13801","13801","True","-8","none","92.13","49.08","96.44","51.6","52","100","79.84","True","1790270091.0063","1790270102.2049","13.568","11.0444","11.1974","0.153","11946490045173.21","FLOP/s","True","21","25","0x0000000000000004;0x0000000000000400"
