"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1380","1378.2","1372","1380","13801","13801","13801","True","-1.8","none","67.63","48","69.52","45.5","46","98.7","60.62","True","1790272445.7423","1790272460.006","16.876","14.0529","14.2607","0.2078","9388903574247.016","FLOP/s","True","26","31","0x0000000000000400"
"1410","1402","1402","1402","13801","13801","13801","True","-8","none","68.93","46.87","70.8","46.1","47","100","61.63","True","1790272470.7149","1790272484.6793","16.295","13.7508","13.9614","0.2106","9595180205426.598","FLOP/s","True","26","30","0x0000000000000400"
"1440","1432","1432","1432","13801","13801","13801","True","-8","none","68.66","32.52","71.72","46.5","47","98.9","61.33","True","1790272495.0175","1790272508.6911","16.256","13.4499","13.6753","0.2253","9809825548897.691","FLOP/s","True","25","30","0x0000000000000400"
"1470","1462","1462","1462","13801","13801","13801","True","-8","none","70.75","40.7","73.29","46.7","47","97.5","62.74","True","1790272519.3259","1790272532.7245","15.772","13.1835","13.3984","0.2149","10008097897153.064","FLOP/s","True","25","29","0x0000000000000400"
"1507","1500","1500","1500","13801","13801","13801","True","-7","none","73.39","52.27","75.3","47.1","48","99","64.91","True","1790272543.1329","1790272556.1904","15.811","12.8496","13.0566","0.207","10268149198217.424","FLOP/s","True","24","29","0x0000000000000004;0x0000000000000400"
"1537","1530","1530","1530","13801","13801","13801","True","-7","none","73.91","33.26","77.39","47.4","48","98.6","65.17","True","1790272566.9624","1790272579.8358","15.225","12.6368","12.8685","0.2317","10441068049439.797","FLOP/s","True","24","28","0x0000000000000004;0x0000000000000400"
"1567","1560","1560","1560","13801","13801","13801","True","-7","none","77.09","49.76","79.52","47.8","48","100","68.25","True","1790272590.2591","1790272602.8959","15.232","12.4143","12.6373","0.2231","10628215573788.703","FLOP/s","True","23","28","0x0000000000000004;0x0000000000000400"
"1597","1590","1590","1590","13801","13801","13801","True","-7","none","76.98","33.67","81.26","48.1","49","97.3","67.58","True","1790272613.5024","1790272625.8763","14.656","12.1328","12.377","0.2442","10874774482740.445","FLOP/s","True","23","27","0x0000000000000004;0x0000000000000400"
"1627","1620","1620","1620","13801","13801","13801","True","-7","none","81.26","50.04","84.06","48.4","49","96","71.49","True","1790272636.2193","1790272648.2695","14.75","11.9339","12.0553","0.1213","11056009368424.676","FLOP/s","True","22","27","0x0000000000000004;0x0000000000000400"
"1665","1657","1657","1657","13801","13801","13801","True","-8","none","82.25","33.51","86.67","49.2","50","100","71.73","True","1790272658.9717","1790272670.7972","14.137","11.66","11.8257","0.1657","11315728684794.438","FLOP/s","True","22","26","0x0000000000000004;0x0000000000000400"
"1695","1687","1687","1687","13801","13801","13801","True","-8","none","87.2","58.42","90.06","49.9","51","100","76.39","True","1790272681.1727","1790272692.7687","14.125","11.4152","11.5884","0.1733","11558411007485.156","FLOP/s","True","21","26","0x0000000000000400"
"1725","1717","1717","1717","13801","13801","13801","True","-8","none","89.92","47.44","93.52","50.3","51","100","77.91","True","1790272703.2954","1790272714.6736","13.579","11.2301","11.3772","0.1471","11748902878154.197","FLOP/s","True","21","25","0x0000000000000400"
"1755","1747","1747","1747","13801","13801","13801","True","-8","none","91.78","42.21","96.63","50.7","52","96.3","79.64","True","1790272724.9129","1790272736.1122","13.573","11.041","11.1922","0.1512","11950142378828.564","FLOP/s","True","21","25","0x0000000000000004;0x0000000000000400"
