target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1380,1378.2,9388.903574247015,67.63,13801.0,1790272445.7423,1790272460.006,0.72,1297.0,28,-420
1410,1402.0,9595.180205426597,68.93,13801.0,1790272470.7149,1790272484.6793,0.72,1327.0,28,-420
1440,1432.0,9809.825548897692,68.66,13801.0,1790272495.0175,1790272508.6911,0.72,1350.0,27,-420
1470,1462.0,10008.097897153064,70.75,13801.0,1790272519.3259,1790272532.7245,0.72,1402.0,27,-420
1507,1500.0,10268.149198217423,73.39,13801.0,1790272543.1329,1790272556.1904,0.72,1425.0,26,-420
1537,1530.0,10441.068049439797,73.91,13801.0,1790272566.9624,1790272579.8358,0.72,1455.0,25,-420
1567,1560.0,10628.215573788702,77.09,13801.0,1790272590.2591,1790272602.8959,0.72,1477.0,25,-420
1597,1590.0,10874.774482740446,76.98,13801.0,1790272613.5024,1790272625.8763,0.73,1500.0,25,-420
1627,1620.0,11056.009368424675,81.26,13801.0,1790272636.2193,1790272648.2695,0.735,1530.0,24,-420
1665,1657.0,11315.728684794438,82.25,13801.0,1790272658.9717,1790272670.7972,0.745,1582.0,24,-420
1695,1687.0,11558.411007485156,87.2,13801.0,1790272681.1727,1790272692.7687,0.755,1612.0,23,-420
1725,1717.0,11748.902878154197,89.92,13801.0,1790272703.2954,1790272714.6736,0.76,1650.0,22,-420
1755,1747.0,11950.142378828565,91.78,13801.0,1790272724.9129,1790272736.1122,0.77,1680.0,22,-420
