"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1380","1377.8","1372","1380","13801","13801","13801","True","-2.2","none","66.72","33.17","69.35","45.6","46","99.2","59.62","True","1790272776.4662","1790272790.7249","16.875","14.0564","14.2568","0.2004","9386580058140.31","FLOP/s","True","26","31","0x0000000000000400"
"1410","1402","1402","1402","13801","13801","13801","True","-8","none","68.62","40.35","70.79","46.1","47","98.5","61.08","True","1790272801.3872","1790272815.3648","16.308","13.7438","13.9779","0.234","9600032373255.377","FLOP/s","True","26","30","0x0000000000000400"
"1440","1432","1432","1432","13801","13801","13801","True","-8","none","69.69","45.17","71.75","46.5","47","98.4","62.45","True","1790272825.7427","1790272839.4096","16.3","13.4462","13.6671","0.2208","9812535064390.773","FLOP/s","True","25","30","0x0000000000000400"
"1470","1462","1462","1462","13801","13801","13801","True","-8","none","69.69","28.67","73.23","46.6","47","97.7","61.81","True","1790272850.0504","1790272863.4552","15.823","13.1819","13.407","0.2251","10009253897602.49","FLOP/s","True","25","29","0x0000000000000400"
"1507","1500","1500","1500","13801","13801","13801","True","-7","none","72.03","36.05","75.21","47","48","97","63.96","True","1790272873.9107","1790272886.9588","15.671","12.8461","13.0428","0.1967","10270923157694.182","FLOP/s","True","24","29","0x0000000000000004;0x0000000000000400"
"1537","1530","1530","1530","13801","13801","13801","True","-7","none","75.22","53.01","77.64","47.3","48","98.4","66.3","True","1790272897.6343","1790272910.4738","15.184","12.6308","12.84","0.2092","10446030272038.549","FLOP/s","True","24","28","0x0000000000000004;0x0000000000000400"
"1567","1560","1560","1560","13801","13801","13801","True","-7","none","76.43","42.68","79.41","47.6","48","98.5","67.58","True","1790272920.866","1790272933.5174","15.207","12.4149","12.6559","0.241","10627686255066.861","FLOP/s","True","23","28","0x0000000000000004;0x0000000000000400"
"1597","1590","1590","1590","13801","13801","13801","True","-7","none","77.91","28.02","81.65","48.3","49","98.8","68.39","True","1790272944.0854","1790272956.4366","14.672","12.1298","12.3508","0.221","10877455297039.248","FLOP/s","True","23","27","0x0000000000000004;0x0000000000000400"
"1627","1620","1620","1620","13801","13801","13801","True","-7","none","81.47","43.35","84.25","48.8","50","100","71.5","True","1790272966.8172","1790272978.8828","14.734","11.9327","12.063","0.1304","11057173187984.36","FLOP/s","True","22","27","0x0000000000000004;0x0000000000000400"
"1665","1657","1657","1657","13801","13801","13801","True","-8","none","82.74","29.39","86.54","49.5","50","100","72.17","True","1790272989.5639","1790273001.3808","14.156","11.661","11.8219","0.1609","11314710457884.082","FLOP/s","True","22","26","0x0000000000000004;0x0000000000000400"
"1695","1687","1687","1687","13801","13801","13801","True","-8","none","86.79","47.94","90.27","50","51","100","75.83","True","1790273011.7738","1790273023.3444","14.134","11.4133","11.567","0.1538","11560355222208.242","FLOP/s","True","21","26","0x0000000000000400"
"1725","1717","1717","1717","13801","13801","13801","True","-8","none","88.27","37.53","93.41","50.5","51","99","77.11","True","1790273033.9695","1790273045.3456","14.062","11.231","11.3764","0.1454","11747963572787.527","FLOP/s","True","21","26","0x0000000000000004;0x0000000000000400"
"1755","1747","1747","1747","13801","13801","13801","True","-8","none","90.93","30.4","96.74","51.2","52","100","78.98","True","1790273056.0364","1790273067.2045","13.609","11.0373","11.1706","0.1333","11954181750630.123","FLOP/s","True","20","25","0x0000000000000004;0x0000000000000400"
