"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.6","1230","1237","16301","16301","16301","True","-0.4","none","52.37","8.17","57.79","40.9","41","95.8","46.07","True","1790362422.2517","1790362431.6409","11.48","9.2576","9.3889","0.1313","344796111754.20276","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1395","1392.5","1387","1395","16301","16301","16301","True","-2.5","none","53.75","7.71","60.02","40.7","41","93.9","46.61","True","1790362441.7955","1790362450.5129","10.36","8.5768","8.7174","0.1406","372168055563.57837","byte/s","True","16","19","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","55.95","9.81","62.16","40.5","41","96.5","48.7","True","1790362460.2091","1790362468.4001","10.327","8.0519","8.1904","0.1385","396428797506.9752","byte/s","True","15","19","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","61.01","13.75","67.83","40.6","41","96","52.59","True","1790362478.6385","1790362486.2964","9.784","7.5382","7.653","0.1147","423441122136.91595","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","15194.5","810","16301","True","-7","none","61.7","8.39","71.32","40.7","41","92.9","52.31","True","1790362496.3988","1790362503.8083","9.279","7.2836","7.4094","0.1258","438244637465.28503","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","66.22","8.8","76.09","41.3","42","92.3","56.56","True","1790362513.8194","1790362521.0512","9.26","7.1208","7.2321","0.1113","448264384761.3089","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2167","2130.5","2130","2137","16301","16301","16301","False","-36.5","below","69.53","22.79","76.4","41.6","42","98.8","59.22","True","1790362531.0184","1790362538.2366","9.25","7.12","7.2187","0.0987","448316577571.53864","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2317","2252.2","2250","2265","15109.4","810","16301","False","-64.8","below","65.72","8.75","76.74","41.5","42","92.3","56.36","True","1790362548.4232","1790362555.653","9.267","7.1218","7.2296","0.1079","448202669383.9841","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2475","2429.8","2422","2452","16301","16301","16301","False","-45.2","below","69.68","17.7","77.46","41.8","42","94.7","59.88","True","1790362565.6459","1790362572.8631","9.238","7.1104","7.2173","0.107","448921653481.516","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2625","2551.5","2542","2595","15109.4","810","16301","False","-73.5","below","66.32","12.69","77.58","41.6","42","90.5","57.26","True","1790362583.0183","1790362590.2435","9.229","7.1099","7.2246","0.1148","448954493004.8286","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2782","2773.2","2767","2775","16301","16301","16301","True","-8.8","none","70.19","12.6","79.34","42.2","43","92.5","59.84","True","1790362600.294","1790362607.5018","9.258","7.0871","7.2078","0.1206","450393177581.8135","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","15109.4","810","16301","True","-7","none","76.44","9.53","85.03","42.5","43","92.3","64.91","True","1790362617.5885","1790362624.7428","9.257","7.0493","7.154","0.1047","452807859836.7272","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"3090","3017","3015","3022","15636.7","7001","16301","False","-73","below","79.8","22.01","89.46","43.3","44","92.9","69.33","True","1790362634.9718","1790362642.2194","9.208","7.1444","7.2441","0.0997","446783719895.55396","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
