target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.6,344.79611175420274,52.37,16301.0,1790362422.2517,1790362431.6409,0.72,1245.0,18,-420
1395,1392.5,372.1680555635784,53.75,16301.0,1790362441.7955,1790362450.5129,0.72,1350.0,17,-420
1545,1537.0,396.42879750697523,55.95,16301.0,1790362460.2091,1790362468.4001,0.72,1455.0,17,-420
1702,1695.0,423.44112213691596,61.01,16301.0,1790362478.6385,1790362486.2964,0.76,1635.0,15,-420
1852,1845.0,438.24463746528505,61.7,15194.5,1790362496.3988,1790362503.8083,0.795,1777.0,15,-420
2010,2002.0,448.2643847613089,66.22,16301.0,1790362513.8194,1790362521.0512,0.8425,1935.0,14,-420
2167,2130.5,448.31657757153863,69.53,16301.0,1790362531.0184,1790362538.2366,0.8425,1935.0,14,-420
2317,2252.2,448.2026693839841,65.72,15109.4,1790362548.4232,1790362555.653,0.845,1935.0,14,-420
2475,2429.8,448.921653481516,69.68,16301.0,1790362565.6459,1790362572.8631,0.85,1957.0,15,-420
2625,2551.5,448.95449300482863,66.32,15109.4,1790362583.0183,1790362590.2435,0.8474999999999999,1957.0,14,-420
2782,2773.2,450.39317758181346,70.19,16301.0,1790362600.294,1790362607.5018,0.86,2002.0,15,-420
2932,2925.0,452.8078598367272,76.44,15109.4,1790362617.5885,1790362624.7428,0.895,2115.0,14,-420
3090,3017.0,446.78371989555393,79.8,15636.7,1790362634.9718,1790362642.2194,0.92,2190.0,14,-420
