"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.1","1230","1237","16301","16301","16301","True","-1.9","none","59.16","10.57","64.96","40.9","42","95.4","52.78","True","1790363201.8957","1790363211.7136","11.944","9.6736","9.8207","0.1471","198099253411.08878","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1395","1392.2","1387","1395","16312.8","16301","16501","True","-2.8","none","60.83","11.2","67.56","41.3","42","94.2","54.13","True","1790363221.9883","1790363231.1314","11.336","8.9937","9.1473","0.1536","213076127013.37558","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","64.05","11.84","70.23","41.4","42","96.4","56.41","True","1790363241.3465","1790363249.954","10.821","8.4678","8.6027","0.1349","226310469461.73434","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","15268.3","810","16301","True","-7","none","69.66","12.63","76.05","42.1","43","91.9","60.9","True","1790363260.1254","1790363268.2486","10.28","8.0073","8.1221","0.1148","239324414047.39062","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","73.45","13.96","82.08","42.6","43","93.4","63.48","True","1790363278.4455","1790363286.2988","9.74","7.7363","7.8552","0.1189","247708548450.61526","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","81.66","24.13","89.93","43.5","44","95.3","70.77","True","1790363296.2119","1790363303.8727","9.71","7.5474","7.6606","0.1132","253907931024.10248","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2167","2130.5","2130","2137","16315.3","16301","16501","False","-36.5","below","79.58","13.97","90.9","43.9","45","92.9","69.65","True","1790363313.9808","1790363321.5864","9.766","7.4906","7.6035","0.1129","255831977653.50742","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2317","2250.5","2250","2257","16301","16301","16301","False","-66.5","below","82.09","16.79","91.5","44.4","45","96.6","69.9","True","1790363331.8112","1790363339.3474","9.198","7.4439","7.5407","0.0968","257438731005.6897","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2475","2426.4","2422","2460","15194.5","810","16301","False","-48.6","below","80.96","14.95","93.56","44.5","46","92.9","69.79","True","1790363349.0594","1790363356.5372","9.175","7.367","7.4784","0.1114","260124850289.74878","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2625","2546.9","2542","2587","16301","16301","16301","False","-78.1","below","83.3","13.32","94.22","44.8","46","92.9","72.42","True","1790363366.4439","1790363373.9017","9.78","7.3346","7.4579","0.1233","261272849550.6759","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2782","2767.6","2760","2775","15194.5","810","16301","True","-14.4","none","83.54","13.46","95.76","44.9","46","88.1","71.23","True","1790363384.1975","1790363391.573","9.232","7.256","7.3716","0.1156","264105145587.24435","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","89.51","18.23","101.53","46.1","47","92.9","77.31","True","1790363401.4607","1790363408.7503","9.25","7.1902","7.2908","0.1006","266520882017.40668","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"3090","3015","3015","3015","16301","16301","16301","False","-75","below","96.59","25.35","107.08","47.3","48","96.3","82.71","True","1790363418.7457","1790363426.0117","9.224","7.1542","7.264","0.1098","267863927758.7809","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
