target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.5,4222.295364542101,68.43,15747.8,1790363974.8296,1790363990.0127,0.72,1245.0,31,-420
1395,1392.8,4760.273338172403,73.64,15681.4,1790364000.24,1790364013.7312,0.72,1335.0,27,-420
1545,1537.0,5259.3208564626175,81.17,16301.0,1790364023.9289,1790364036.1277,0.72,1455.0,25,-420
1702,1695.0,5807.645267633971,89.51,16301.0,1790364046.0635,1790364057.1148,0.755,1612.0,22,-420
1852,1845.0,6315.339492348065,103.85,16301.0,1790364067.0441,1790364077.1984,0.795,1792.0,21,-420
2010,2002.0,6851.707355139286,117.18,15440.4,1790364087.1433,1790364096.4975,0.84,1942.0,18,-420
2167,2151.6,7267.53124756941,123.92,16301.0,1790364106.4741,1790364115.3046,0.84,1942.0,18,-420
2317,2293.6,7653.414896655257,129.44,16301.0,1790364125.4486,1790364133.84,0.84,1950.0,17,-420
2475,2460.5,8244.650770164297,131.84,15268.3,1790364143.8169,1790364151.5696,0.845,1972.0,15,-420
2625,2596.6,8599.778321168764,140.37,16301.0,1790364161.5606,1790364169.0055,0.845,1972.0,15,-420
2782,2729.7,8671.016196213754,145.69,15636.7,1790364178.9396,1790364186.328,0.855,1987.0,14,-420
2932,2771.6,8643.4047462185,145.67,16301.0,1790364196.5837,1790364203.9836,0.86,2032.0,15,-420
3090,2822.3,8641.4463221348,144.63,15636.7,1790364214.3443,1790364221.7542,0.865,2055.0,15,-420
