"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.8","1230","1237","16301","16301","16301","True","-1.2","none","53","31.52","54.5","45.8","46","97.3","48.58","True","1790364568.3066","1790364586.8244","20.589","18.2158","18.5204","0.3046","4636655311388.502","FLOP/s","True","34","38","0x0000000000000001;0x0000000000000000"
"1395","1392.4","1387","1395","16301","16301","16301","True","-2.6","none","56.35","11.76","59.91","45.6","46","95.7","52.4","True","1790364596.8406","1790364613.2608","18.366","16.1576","16.418","0.2603","5227281548791.797","FLOP/s","True","31","34","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","61.16","12.85","65.15","46.1","47","94.6","56.41","True","1790364623.2145","1790364638.066","16.763","14.6262","14.8489","0.2227","5774608921131.562","FLOP/s","True","28","31","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","71.61","19.08","76.12","47.5","48","99.3","65.6","True","1790364648.0974","1790364661.5613","15.714","13.2448","13.4612","0.2164","6376882437904.217","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","85.16","36.85","89.31","49.4","50","98.5","74.54","True","1790364671.8429","1790364684.2016","14.651","12.1843","12.3592","0.1749","6931924211730.811","FLOP/s","True","22","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15596.9","810","16301","True","-8","none","96.75","13.2","106.07","51.4","53","95.5","86.76","True","1790364694.5113","1790364705.9124","13.508","11.2266","11.4028","0.1761","7523220035104.101","FLOP/s","True","22","25","0x0000000000000001;0x0000000000000000"
"2167","2159.2","2145","2160","15526.4","810","16301","True","-7.8","none","103.45","13.38","111.85","52.4","54","94.3","92.49","True","1790364715.9858","1790364726.7317","12.986","10.5742","10.7508","0.1765","7987409881980.724","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2317","2300.8","2280","2302","16301","16301","16301","True","-16.2","none","108.46","29.63","117.06","53.9","55","100","96.5","True","1790364737.0113","1790364747.1917","12.443","10.0264","10.1773","0.1509","8423796506356.936","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2475","2466.6","2460","2467","16301","16301","16301","True","-8.4","none","115.76","24.02","126.06","55.3","57","99.3","101.36","True","1790364757.5665","1790364766.9836","11.337","9.283","9.4209","0.1379","9098398732393.871","FLOP/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2625","2609.5","2595","2617","15389.8","810","16301","True","-15.5","none","116.31","13.63","132.24","55.2","58","90.5","101.04","True","1790364776.8595","1790364785.8505","10.84","8.8424","8.9929","0.1504","9551727330215.055","FLOP/s","True","17","20","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","126.56","15.27","143.55","56.5","59","91","110.13","True","1790364795.7438","1790364803.9633","10.269","8.1003","8.2183","0.1179","10426783212309.322","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","148.13","23.66","166.84","60.5","63","95.5","127.06","True","1790364814.1151","1790364821.9021","9.736","7.6821","7.7866","0.1045","10994482405175.824","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2986.3","2977","3015","15636.7","7001","16301","False","-103.7","below","154.66","23.44","180.52","61.4","65","89.9","133.97","True","1790364831.9112","1790364839.5403","9.759","7.5352","7.6299","0.0948","11208862334291.139","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
