target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.8,2859.5320686969826,43.69,16301.0,1790365185.9519,1790365204.3253,0.72,1245.0,37,-420
1395,1392.3,3225.975840030008,46.89,16301.0,1790365215.04,1790365231.3525,0.72,1342.0,33,-420
1545,1537.0,3564.0137138667583,51.42,16301.0,1790365242.0514,1790365256.8025,0.72,1440.0,30,-420
1702,1695.0,3935.8179842232535,61.03,16301.0,1790365267.3065,1790365280.6853,0.755,1605.0,26,-420
1852,1845.0,4279.3409270694165,71.11,16301.0,1790365291.1016,1790365303.4408,0.795,1785.0,25,-420
2010,2002.0,4639.82734284495,83.13,16301.0,1790365313.7805,1790365325.1312,0.84,1942.0,22,-420
2167,2156.0,4922.250833041606,87.93,16301.0,1790365335.3821,1790365346.0704,0.84,1942.0,21,-420
2317,2300.4,5191.4970983373305,93.06,16301.0,1790365356.4556,1790365366.5862,0.84,1942.0,20,-420
2475,2467.0,5616.562153730951,101.17,16301.0,1790365376.9821,1790365386.3496,0.845,1965.0,19,-420
2625,2610.0,5887.040226832771,104.16,16301.0,1790365396.9356,1790365405.877,0.845,1965.0,18,-420
2782,2775.0,6422.653762276398,113.19,16301.0,1790365416.2592,1790365424.4371,0.855,1987.0,16,-420
2932,2925.0,6761.418524140253,123.37,16301.0,1790365434.6466,1790365442.4164,0.895,2122.0,16,-420
3090,2991.1,6918.670685966684,138.69,16301.0,1790365452.863,1790365460.4639,0.92,2190.0,15,-420
