"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.1","1230","1237","16301","16301","16301","True","-0.9","none","61.06","45.74","62.51","44.9","45","98.7","55.1","True","1790365498.1299","1790365514.1325","18.416","15.7672","15.9953","0.2281","8368111005685.955","FLOP/s","True","30","34","0x0000000000000001;0x0000000000000000"
"1395","1387","1387","1387","16301","16301","16301","True","-8","none","66.41","21.93","69.29","45.7","46","99.9","59.43","True","1790365524.6249","1790365538.7649","16.773","13.9342","14.1382","0.204","9468864832409.775","FLOP/s","True","26","31","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","74.13","38.68","77.24","46.5","47","98.3","65.22","True","1790365549.3115","1790365562.1746","15.143","12.6119","12.8633","0.2514","10461625095740.748","FLOP/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","84.5","27.02","89.08","48.3","49","97.4","73.79","True","1790365572.5336","1790365584.0743","14.059","11.3892","11.5415","0.1523","11584830082098.986","FLOP/s","True","21","26","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","102.47","76.49","105.88","50.8","52","97.5","88.71","True","1790365594.4971","1790365605.1268","12.998","10.4688","10.6228","0.154","12603325022031.576","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","119.96","75.29","125.1","53.4","55","96","102.67","True","1790365615.5388","1790365625.3371","12.432","9.6445","9.795","0.1505","13680433242441.22","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","128.32","75.56","133.68","55.5","57","98.3","108.63","True","1790365636.0671","1790365645.2992","11.885","9.0909","9.2333","0.1424","14513593224868.883","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2317","2305.5","2302","2310","16301","16301","16301","True","-11.5","none","136.21","94.79","141.44","56.8","58","98.9","113.79","True","1790365655.9045","1790365664.6339","10.853","8.5851","8.7288","0.1437","15368584810134.88","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","145.15","57.74","153.3","58.8","60","100","118.57","True","1790365674.7768","1790365682.8137","10.266","7.9395","8.0374","0.0978","16618247294128.516","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2625","2611.5","2610","2617","16301","16301","16301","True","-13.5","none","152.65","84.65","160.18","59.9","61","100","123.04","True","1790365693.0927","1790365700.7698","9.765","7.5677","7.6778","0.11","17434698413651.31","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","167.49","105.88","177.01","62.2","64","100","132.3","True","1790365710.9672","1790365718.0105","9.219","6.9143","7.0423","0.128","19082350177454.742","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2932","2867.9","2850","2917","16301","16301","16301","False","-64.1","below","179.73","82.81","192.81","64.5","66","98.7","141.73","True","1790365728.1191","1790365734.9484","9.223","6.7127","6.8288","0.1161","19655547009332.7","FLOP/s","True","12","17","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2862.2","2850","2895","16301","16301","16301","False","-227.8","below","181.71","101.03","191.91","64.4","66","99.5","143.53","True","1790365745.5112","1790365752.3316","9.175","6.7213","6.8231","0.1018","19630259526146.1","FLOP/s","True","12","17","0x0000000000000001;0x0000000000000000"
