target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.2,336.14969276564455,52.86,16301.0,1790365883.2534,1790365892.8791,0.725,1230.0,19,-420
1395,1393.1,363.7003944621021,55.02,16301.0,1790365903.2054,1790365912.1154,0.725,1335.0,18,-420
1545,1537.0,389.9786101861975,56.52,15268.3,1790365922.0855,1790365930.3929,0.725,1447.0,17,-420
1702,1695.0,417.9522703480883,59.61,15194.5,1790365940.4213,1790365948.171,0.76,1635.0,15,-420
1852,1845.0,431.9065555553241,65.56,16301.0,1790365958.1038,1790365965.6014,0.795,1770.0,15,-420
2010,2002.0,441.76385679130686,67.32,15194.5,1790365975.4553,1790365982.7788,0.84,1935.0,15,-420
2167,2152.6,442.37400843182587,70.37,16301.0,1790365992.7193,1790366000.0394,0.85,1957.0,15,-420
2317,2310.0,426.8069360354457,70.27,15194.5,1790366009.9624,1790366017.5377,0.885,2085.0,15,-420
2475,2460.5,446.42441941573463,79.71,16301.0,1790366027.6493,1790366034.913,0.915,2175.0,14,-420
2625,2610.5,446.74319383169353,78.68,15194.5,1790366044.9702,1790366052.22,0.92,2190.0,14,-420
2782,2746.2,446.6643200930695,81.69,16301.0,1790366062.1477,1790366069.4108,0.92,2190.0,14,-420
2932,2873.9,446.6035443670441,79.84,15109.4,1790366079.4133,1790366086.6629,0.92,2190.0,15,-420
3090,2939.2,446.71018312402316,82.31,16301.0,1790366096.7375,1790366103.9831,0.92,2190.0,14,-420
