"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.4","1230","1237","15596.9","810","16301","True","-1.6","none","49.9","10.57","55.12","42.9","43","92.3","45.2","True","1790366141.101","1790366152.8588","13.516","11.5865","11.7604","0.1739","297242272673.99725","byte/s","True","22","25","0x0000000000000001;0x0000000000000000"
"1395","1393","1387","1395","16301","16301","16301","True","-2","none","53.35","18.66","56.99","42","42","96.8","48.43","True","1790366162.6216","1790366173.5211","12.986","10.721","10.9","0.179","321239664237.35443","byte/s","True","20","24","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","54.59","13.08","59.06","40.9","41","97.6","48.67","True","1790366183.7392","1790366193.7814","11.904","9.9131","10.0438","0.1308","347419821729.16376","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","60.46","21.14","64.79","40.9","41","97.9","53.14","True","1790366203.6031","1790366212.6538","10.843","8.8963","9.0527","0.1563","387125165692.75977","byte/s","True","17","20","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","15268.3","810","16301","True","-7","none","62.66","12.57","70.46","41.2","42","91.4","55.35","True","1790366222.5547","1790366230.8628","10.32","8.1693","8.303","0.1338","421579628018.80817","byte/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15194.5","810","16301","True","-8","none","67.5","12.83","77.12","41.6","42","92.9","58.94","True","1790366240.9314","1790366248.4937","9.748","7.4559","7.5552","0.0993","461913569774.3374","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","71.11","22.94","78.15","41.9","42","93.7","61.1","True","1790366258.6433","1790366266.1227","9.272","7.3768","7.477","0.1002","466868628468.29913","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","15109.4","810","16301","True","-7","none","73.46","15.06","84.62","42.4","43","91.7","64.17","True","1790366276.0337","1790366283.0799","9.2","6.9336","7.0468","0.1132","496708161845.75385","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","80.89","20.76","90.06","42.9","44","94.2","69.5","True","1790366293.2841","1790366300.3189","9.24","6.926","7.0285","0.1025","497257187683.9694","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2625","2613.6","2595","2617","15109.4","810","16301","True","-11.4","none","79.99","14.53","91.23","43.2","44","91.6","69.57","True","1790366310.5685","1790366317.6028","9.206","6.9228","7.0295","0.1067","497483052099.75287","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2782","2759.4","2752","2760","16301","16301","16301","True","-22.6","none","82.78","25.51","91.29","43.5","44","95.7","70.44","True","1790366327.7423","1790366334.78","8.699","6.9254","7.0378","0.1124","497302875544.07605","byte/s","True","13","16","0x0000000000000001;0x0000000000000000"
"2932","2890.2","2872","2895","15109.4","810","16301","False","-41.8","below","80.88","14.79","91.63","43.5","44","92.3","69.76","True","1790366344.4905","1790366351.5244","9.202","6.9226","7.0333","0.1107","497503468656.643","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"3090","2960.9","2940","2970","16301","16301","16301","False","-129.1","below","81.93","18.25","91.79","43.6","44","95.8","70.58","True","1790366361.8361","1790366368.8593","9.218","6.9235","7.024","0.1005","497435563679.32086","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
