"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.8","1230","1237","16301","16301","16301","True","-1.2","none","60.73","21.15","65.08","41.9","42","98.1","54.07","True","1790366660.6802","1790366670.4922","11.952","9.6713","9.8138","0.1424","198146682112.7993","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1395","1392.6","1387","1395","16301","16301","16301","True","-2.4","none","62.07","15.68","67.57","41.9","42","98.5","55.06","True","1790366680.8083","1790366689.979","11.364","8.9997","9.1635","0.1639","212935237977.63406","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","15332.8","810","16301","True","-8","none","64.22","11.61","70.22","41.7","42","89.4","56.49","True","1790366700.2047","1790366708.8209","10.798","8.4738","8.6157","0.1419","226149799204.6397","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1702","1695","1695","1695","15268.3","810","16301","True","-7","none","66.88","12.89","75.82","42.5","43","93.3","58.8","True","1790366719.0416","1790366727.1747","10.252","8.02","8.1334","0.1135","238946453014.38107","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","75.38","21.35","82.28","43.2","44","95.5","65.04","True","1790366737.2586","1790366745.1028","9.73","7.735","7.8374","0.1024","247749408328.5545","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2010","2002","2002","2002","15194.5","810","16301","True","-8","none","78.64","14.41","89.95","43.6","45","93","68.57","True","1790366755.0366","1790366762.6995","9.728","7.5457","7.6618","0.1161","253965468188.70102","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2167","2152.6","2152","2160","16301","16301","16301","True","-14.4","none","82.59","19.12","91.85","44.4","45","96.3","71.53","True","1790366772.8049","1790366780.3975","9.726","7.4693","7.5869","0.1177","256563636258.61847","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2317","2310","2310","2310","15194.5","810","16301","True","-7","none","85.42","16.91","97.17","45.1","46","93","73.67","True","1790366790.5679","1790366798.0236","9.193","7.3607","7.4567","0.096","260348929546.0374","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2475","2460.5","2460","2467","16301","16301","16301","True","-14.5","none","91.35","15.34","101.82","45.9","47","93.9","77.85","True","1790366807.8966","1790366815.2898","9.183","7.2892","7.3949","0.1057","262901059013.85843","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2625","2607.7","2602","2610","15194.5","810","16301","True","-17.3","none","90.61","14.74","103.93","46.4","48","92.9","77.26","True","1790366825.0537","1790366832.4138","9.191","7.2497","7.3617","0.112","264332291162.1276","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2782","2733.1","2730","2752","16301","16301","16301","False","-48.9","below","93.78","18.64","105","46.8","48","96.2","80.56","True","1790366842.3611","1790366849.6902","9.199","7.218","7.3361","0.1181","265495148905.24948","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2932","2855.6","2850","2872","15194.5","810","16301","False","-76.4","below","92.82","15.12","105.95","47","48","92.8","79.41","True","1790366859.5358","1790366866.8433","9.179","7.1915","7.3033","0.1118","266472366233.60376","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"3090","2916.3","2910","2925","16301","16301","16301","False","-173.7","below","97.2","31.63","106.56","47.6","49","94.8","83.96","True","1790366876.7562","1790366884.0456","9.167","7.1832","7.2888","0.1055","266779609644.16278","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
