target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.4,1872.3333986875045,73.31,15440.4,1790366921.1689,1790366930.4535,0.72,1245.0,19,-420
1395,1393.0,2015.3084772212571,78.32,16301.0,1790366940.4912,1790366949.1312,0.72,1320.0,17,-420
1545,1537.0,2173.231784348503,82.26,16301.0,1790366959.4656,1790366967.4233,0.72,1440.0,15,-420
1702,1695.0,2324.7156306480933,91.92,15194.5,1790366977.1773,1790366984.6434,0.755,1612.0,15,-420
1852,1845.0,2400.8886653184186,99.28,16301.0,1790366994.4391,1790367001.6545,0.795,1785.0,15,-420
2010,2002.0,2425.612207059252,109.8,15109.4,1790367011.784,1790367018.9525,0.84,1942.0,14,-420
2167,2158.2,2425.1750872046623,109.36,16301.0,1790367028.9394,1790367036.1126,0.845,1965.0,14,-420
2317,2310.0,2430.836043172048,118.92,15109.4,1790367046.317,1790367053.4514,0.885,2085.0,14,-420
2475,2460.5,2430.893071518687,125.5,16301.0,1790367063.4525,1790367070.5952,0.915,2175.0,14,-420
2625,2608.8,2429.3772557028396,124.68,15109.4,1790367080.7837,1790367087.9165,0.92,2190.0,14,-420
2782,2738.8,2428.6283312151454,126.86,16301.0,1790367097.9717,1790367105.1086,0.92,2190.0,14,-420
2932,2864.8,2429.7048375956156,129.4,15109.4,1790367115.2901,1790367122.4361,0.92,2190.0,14,-420
3090,2924.8,2429.4702697690354,127.01,16301.0,1790367132.5304,1790367139.6921,0.92,2190.0,15,-420
