"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","16301","16301","16301","True","-1","none","68.98","11.21","73.83","45.2","46","96.6","63.61","True","1790367431.5441","1790367446.7286","17.425","14.9536","15.1859","0.2324","4223063045932.321","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1395","1392.1","1387","1395","16301","16301","16301","True","-2.9","none","75.87","16.49","80.96","45.8","47","97.3","69.5","True","1790367457.0371","1790367470.5324","15.67","13.2672","13.4966","0.2294","4759857272769.196","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","15627.5","810","16301","True","-8","none","79.41","12.66","86.9","46.3","47","93.5","71.88","True","1790367480.8151","1790367493.0061","14.05","12.0114","12.1913","0.1799","5257477380907.617","FLOP/s","True","23","26","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","15563.3","810","16301","True","-7","none","88.44","11.6","97.5","47.6","49","91.1","78.92","True","1790367502.9096","1790367513.961","12.984","10.8743","11.0436","0.1693","5807281937812.627","FLOP/s","True","21","24","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","15485.7","810","16301","True","-7","none","104.97","12.39","114.7","49.6","52","90.3","93.44","True","1790367523.9396","1790367534.0867","12.425","10.0028","10.1478","0.145","6313216933299.319","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15389.8","810","16301","True","-8","none","117.1","15.18","131.31","51.9","54","89.9","103.35","True","1790367544.3332","1790367553.699","11.389","9.2141","9.3707","0.1565","6853588833723.306","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2167","2157.5","2152","2160","15332.8","810","16301","True","-9.5","none","121.12","14.97","138.35","53.4","55","93.5","105.97","True","1790367563.7516","1790367572.5956","10.824","8.6853","8.843","0.1576","7270852841859.77","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16314.3","16301","16501","True","-7","none","138.57","14.61","158.2","55.9","58","93.3","120.06","True","1790367582.6995","1790367590.8064","10.304","7.9919","8.1051","0.1133","7901782923662.717","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2475","2399.2","2347","2467","16301","16301","16301","False","-75.8","below","150","17.24","167.51","57.5","60","94.5","129.17","True","1790367601.0932","1790367608.9692","10.236","7.767","7.8761","0.1091","8130498691064.433","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2625","2414.2","2340","2617","15268.3","810","16301","False","-210.8","below","145.7","17.89","170.99","58.1","60","91.3","124.7","True","1790367619.343","1790367627.2051","9.782","7.7457","7.8649","0.1192","8152879068406.591","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2782","2449.3","2340","2760","16301","16301","16301","False","-332.7","below","149.91","19.96","165.59","58.2","61","94.5","128.52","True","1790367637.1044","1790367644.9657","9.734","7.7619","7.8599","0.098","8135869996363.041","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2932","2400.3","2340","2902","15268.3","810","16301","False","-531.7","below","152.87","19.12","170.49","58.5","61","92","131","True","1790367654.8639","1790367662.7264","9.729","7.7592","7.8654","0.1061","8138679143119.005","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2471.3","2340","2970","16301","16301","16301","False","-618.7","below","148.78","23.38","165.56","58.6","62","94.7","127.92","True","1790367672.6444","1790367680.5211","9.712","7.7659","7.8729","0.107","8131670538399.436","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
