target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.2,3376.2340147620594,35.52,16301.0,1790368336.4782,1790368354.4748,0.72,1245.0,36,-420
1395,1393.1,3803.9622295632357,39.59,16301.0,1790368365.0014,1790368381.0073,0.72,1346.0,32,-420
1545,1537.0,4203.996396338144,41.37,16301.0,1790368391.4697,1790368405.9177,0.72,1470.0,29,-420
1702,1695.0,4638.751640801648,45.74,16301.0,1790368416.2997,1790368429.4203,0.76,1605.0,27,-420
1852,1845.0,5040.252189390008,53.99,16301.0,1790368440.0267,1790368452.1175,0.795,1777.0,24,-420
2010,2002.0,5468.024987051364,63.24,16301.0,1790368462.6287,1790368473.7418,0.845,1942.0,22,-420
2167,2160.0,5864.2411161592545,66.23,16301.0,1790368484.2196,1790368494.6079,0.845,1965.0,20,-420
2317,2310.0,6306.831906200205,75.73,16301.0,1790368505.1416,1790368514.8031,0.885,2085.0,19,-420
2475,2467.0,6701.508442131499,84.58,16301.0,1790368525.1006,1790368534.1995,0.915,2175.0,18,-420
2625,2616.1,7090.001913621215,85.65,16301.0,1790368544.4919,1790368553.0887,0.92,2190.0,17,-420
2782,2758.5,7401.653570287152,90.73,16301.0,1790368563.3242,1790368571.5377,0.92,2190.0,16,-420
2932,2893.3,7698.084813802071,96.51,16301.0,1790368581.6484,1790368589.5472,0.92,2190.0,16,-420
3090,2961.0,7853.0772855428495,98.12,16301.0,1790368600.0661,1790368607.7963,0.92,2190.0,15,-420
