"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.1","1230","1237","16301","16301","16301","True","-0.9","none","60.52","23.99","63.08","45","46","99.9","54.64","True","1790368956.5672","1790368972.5316","18.448","15.7636","15.9675","0.2039","8370007044212.041","FLOP/s","True","30","34","0x0000000000000001;0x0000000000000000"
"1395","1387","1387","1387","16301","16301","16301","True","-8","none","66.86","30.23","69.96","45.7","46","100","59.84","True","1790368983.0039","1790368997.1417","16.79","13.9297","14.1371","0.2074","9471940271917.55","FLOP/s","True","26","31","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","75.28","47.43","77.95","46.5","47","100","66.54","True","1790369007.7078","1790369020.5504","15.171","12.6114","12.8416","0.2302","10462065164855.877","FLOP/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","84.64","36.24","89.61","48.1","49","98","74.01","True","1790369030.9404","1790369042.482","14.069","11.3896","11.5411","0.1515","11584413968277.941","FLOP/s","True","21","26","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","103.35","77.81","106.18","51","52","98.4","88.73","True","1790369053.0214","1790369063.6208","13.033","10.4708","10.597","0.1262","12600859562939.484","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","121.78","90.18","125.96","53.8","55","100","103.79","True","1790369073.9972","1790369083.7821","11.953","9.6411","9.7823","0.1412","13685248923588.441","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","129.68","88.91","134.2","55.1","57","98.2","109.45","True","1790369093.9748","1790369103.2084","11.363","9.09","9.2314","0.1414","14515000037034.629","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","145.5","57.66","155.59","58.5","60","97.9","121","True","1790369113.3431","1790369121.8443","10.847","8.3334","8.5011","0.1677","15832849516916.436","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","165.6","75.21","176.29","61.8","63","99.3","135.2","True","1790369132.2203","1790369140.1733","10.342","7.8545","7.9531","0.0986","16798218258421.998","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000000"
"2625","2614.4","2602","2617","16301","16301","16301","True","-10.6","none","176.39","78.89","189.78","63.4","66","97.2","141.18","True","1790369150.683","1790369158.198","9.749","7.41","7.5114","0.1014","17805868094722.38","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2782","2729.2","2692","2760","16301","16301","16301","False","-52.8","below","184.95","112.48","194.72","64.9","67","97","148.88","True","1790369168.491","1790369175.7775","9.776","7.1824","7.2899","0.1074","18369973412996.023","FLOP/s","True","13","18","0x0000000000000001;0x0000000000000000"
"2932","2728.6","2677","2835","16301","16301","16301","False","-203.4","below","178.52","66.07","193.48","64.8","66","97.8","144.26","True","1790369186.2861","1790369193.614","9.766","7.2418","7.3296","0.0878","18219337169885.1","FLOP/s","True","13","18","0x0000000000000001;0x0000000000000000"
"3090","2739.5","2677","2842","16301","16301","16301","False","-350.5","below","183.67","103.32","193.14","65.2","67","97.3","147.6","True","1790369204.0931","1790369211.4263","9.794","7.2347","7.3348","0.1001","18237406268112.785","FLOP/s","True","13","18","0x0000000000000001;0x0000000000000000"
