target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.1,8370.007044212041,60.52,16301.0,1790368956.5672,1790368972.5316,0.72,1245.0,32,-420
1395,1387.0,9471.94027191755,66.86,16301.0,1790368983.0039,1790368997.1417,0.72,1327.0,28,-420
1545,1537.0,10462.065164855878,75.28,16301.0,1790369007.7078,1790369020.5504,0.72,1455.0,26,-420
1702,1695.0,11584.41396827794,84.64,16301.0,1790369030.9404,1790369042.482,0.755,1612.0,24,-420
1852,1845.0,12600.859562939484,103.35,16301.0,1790369053.0214,1790369063.6208,0.795,1792.0,21,-420
2010,2002.0,13685.248923588442,121.78,16301.0,1790369073.9972,1790369083.7821,0.84,1942.0,20,-420
2167,2160.0,14515.00003703463,129.68,16301.0,1790369093.9748,1790369103.2084,0.84,1950.0,19,-420
2317,2310.0,15832.849516916436,145.5,16301.0,1790369113.3431,1790369121.8443,0.89,2085.0,17,-420
2475,2467.0,16798.218258422,165.6,16301.0,1790369132.2203,1790369140.1733,0.915,2175.0,16,-420
2625,2614.4,17805.86809472238,176.39,16301.0,1790369150.683,1790369158.198,0.92,2190.0,15,-420
2782,2729.2,18369.973412996023,184.95,16301.0,1790369168.491,1790369175.7775,0.92,2190.0,15,-420
2932,2728.6,18219.3371698851,178.52,16301.0,1790369186.2861,1790369193.614,0.92,2190.0,14,-420
3090,2739.5,18237.406268112783,183.67,16301.0,1790369204.0931,1790369211.4263,0.92,2190.0,15,-420
