"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.5","1230","1237","16301","16301","16301","True","-1.5","none","62.05","15.13","69.57","44.6","45","97.2","55.16","True","1790369808.3536","1790369818.2705","11.841","9.7832","9.9158","0.1327","318905125119.8844","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1395","1392.2","1387","1395","16301","16301","16301","True","-2.8","none","64.16","14.71","72.82","43.9","45","97.5","56.99","True","1790369828.3699","1790369837.571","11.256","9.0695","9.1983","0.1288","343999273963.40283","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","15332.8","810","16301","True","-8","none","64.06","11.55","74.46","43.6","44","93","55.97","True","1790369847.5589","1790369856.1735","10.753","8.4819","8.6105","0.1286","367828960649.5422","byte/s","True","16","20","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","71.83","16.41","81.78","44.2","45","96.1","63.03","True","1790369866.3466","1790369874.3754","10.17","7.9349","8.0279","0.0931","393190302140.2906","byte/s","True","15","19","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","15194.5","810","16301","True","-7","none","76","13.24","89.45","44.4","45","92.4","66.36","True","1790369884.5816","1790369892.3214","9.656","7.6329","7.7405","0.1077","408746430796.3941","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","85.58","25.9","96.57","45.6","46","95.8","74.46","True","1790369902.2581","1790369909.9509","9.624","7.5915","7.6916","0.1001","410973815470.44196","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2167","2128.8","2122","2145","16301","16301","16301","False","-38.2","below","83.91","16.63","96.91","45.7","47","92.4","73.45","True","1790369919.947","1790369927.655","9.673","7.6136","7.7083","0.0948","409782501310.411","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2317","2253","2250","2257","16301","16301","16301","False","-64","below","87.49","33.98","96.78","46.1","47","97.2","76.35","True","1790369937.697","1790369945.4106","9.651","7.6081","7.7128","0.1047","410077505649.11505","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2475","2422.6","2415","2452","16301","16301","16301","False","-52.4","below","86.66","21.84","97.84","46.3","47","95.4","75.86","True","1790369955.3709","1790369963.0496","9.643","7.5715","7.6783","0.1068","412057149120.3798","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2625","2544.9","2535","2595","15636.7","7001","16301","False","-80.1","below","83.83","19.33","98.76","46.1","47","92.4","73.79","True","1790369973.1529","1790369980.7927","9.668","7.5384","7.637","0.0986","413869073489.7769","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2782","2757.6","2752","2775","16301","16301","16301","True","-24.4","none","88.78","23.9","100.19","46.6","48","95.7","77.84","True","1790369990.8558","1790369998.4733","9.663","7.5194","7.6175","0.0981","414916217535.3202","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2932","2924.4","2917","2925","15636.7","7001","16301","True","-7.6","none","94.01","21.45","107.17","47.5","49","92.4","82.63","True","1790370008.4794","1790370016.0496","9.664","7.4713","7.5719","0.1006","417587179347.89435","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"3090","3015","3015","3015","16301","16301","16301","False","-75","below","100.46","33.83","111.83","48.5","49","94","87.97","True","1790370026.281","1790370033.8345","9.662","7.4581","7.5561","0.098","418321962614.1723","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
