target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.5,318.9051251198844,62.05,16301.0,1790369808.3536,1790369818.2705,0.72,1245.0,20,-420
1395,1392.2,343.99927396340286,64.16,16301.0,1790369828.3699,1790369837.571,0.72,1320.0,18,-420
1545,1537.0,367.8289606495422,64.06,15332.8,1790369847.5589,1790369856.1735,0.72,1440.0,17,-420
1702,1695.0,393.1903021402906,71.83,16301.0,1790369866.3466,1790369874.3754,0.755,1605.0,17,-420
1852,1845.0,408.7464307963941,76.0,15194.5,1790369884.5816,1790369892.3214,0.795,1770.0,15,-420
2010,2002.0,410.97381547044193,85.58,16301.0,1790369902.2581,1790369909.9509,0.84,1935.0,15,-420
2167,2128.8,409.782501310411,83.91,16301.0,1790369919.947,1790369927.655,0.84,1935.0,16,-420
2317,2253.0,410.07750564911504,87.49,16301.0,1790369937.697,1790369945.4106,0.84,1935.0,15,-420
2475,2422.6,412.05714912037985,86.66,16301.0,1790369955.3709,1790369963.0496,0.845,1957.0,15,-420
2625,2544.9,413.8690734897769,83.83,15636.7,1790369973.1529,1790369980.7927,0.845,1957.0,15,-420
2782,2757.6,414.9162175353202,88.78,16301.0,1790369990.8558,1790369998.4733,0.855,1980.0,16,-420
2932,2924.4,417.58717934789433,94.01,15636.7,1790370008.4794,1790370016.0496,0.895,2115.0,16,-420
3090,3015.0,418.3219626141723,100.46,16301.0,1790370026.281,1790370033.8345,0.92,2190.0,15,-420
