"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.7","1230","1237","16301","16301","16301","True","-1.3","none","50.86","35.06","53.6","45.7","46","97.6","47.22","True","1790371479.6152","1790371500.0985","22.524","20.1964","20.4828","0.2864","4181968031656.831","FLOP/s","True","38","42","0x0000000000000001;0x0000000000000000"
"1395","1392.8","1387","1395","16301","16301","16301","True","-2.2","none","55.13","30.7","58.94","45.6","46","96.7","50.71","True","1790371510.3011","1790371528.2736","20.421","17.716","17.9733","0.2574","4767482754692.594","FLOP/s","True","33","38","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","59.89","32.03","63.83","45.9","47","97.4","54.29","True","1790371538.7636","1790371554.8926","18.264","15.8945","16.1288","0.2343","5313834322991.357","FLOP/s","True","30","34","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","15747.8","810","16301","True","-7","none","67.36","12.57","75.05","47.1","48","94.6","62.21","True","1790371564.9403","1790371579.4803","16.613","14.3224","14.5417","0.2194","5897113835201.361","FLOP/s","True","28","31","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","82.51","47.87","88.07","49","51","97.6","73.16","True","1790371589.6865","1790371602.9501","15.562","13.047","13.262","0.215","6473577593832.938","FLOP/s","True","24","29","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","94.86","21.45","104.03","51.4","53","96.2","86.17","True","1790371613.1673","1790371625.3607","14.438","12.0126","12.193","0.1804","7031003188626.416","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2167","2152.7","2152","2160","16301","16301","16301","True","-14.3","none","99.75","29.36","109.4","52.4","54","98","90.49","True","1790371635.62","1790371647.1389","13.91","11.3549","11.5216","0.1667","7438232685272.798","FLOP/s","True","22","26","0x0000000000000001;0x0000000000000000"
"2317","2292.8","2287","2302","16301","16301","16301","True","-24.2","none","107.62","68.99","114.09","53.4","55","97.4","92.9","True","1790371657.6676","1790371668.5871","12.916","10.7541","10.9196","0.1655","7853828568611.647","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2475","2462.2","2460","2467","16301","16301","16301","True","-12.8","none","112.63","38.18","123.59","54.9","57","97.8","100.74","True","1790371678.5317","1790371688.6587","12.373","9.9815","10.1276","0.1462","8461733965262.102","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2625","2603.6","2595","2617","15784.3","7001","16301","True","-21.4","none","113.43","19.61","129.29","55.3","58","93.8","101.23","True","1790371699.0314","1790371708.6834","11.853","9.5145","9.6526","0.1381","8877030067959.578","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","128.66","52.86","141.24","57.8","59","97.2","106.98","True","1790371718.9397","1790371727.7488","10.763","8.6426","8.8122","0.1697","9772584716540.13","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","145.48","34.55","162.95","60.4","62","98.4","126.08","True","1790371737.6117","1790371745.8965","10.208","8.188","8.287","0.0989","10315125071305.979","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2993.6","2977","3015","15719.8","7001","16301","False","-96.4","below","151.26","23.9","176.26","61.2","65","90.2","131.18","True","1790371755.9652","1790371764.0694","10.233","8.0034","8.104","0.1006","10553084457599.334","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
