target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.7,4181.968031656831,50.86,16301.0,1790371479.6152,1790371500.0985,0.72,1252.0,41,-420
1395,1392.8,4767.4827546925935,55.13,16301.0,1790371510.3011,1790371528.2736,0.72,1335.0,36,-420
1545,1537.0,5313.834322991357,59.89,16301.0,1790371538.7636,1790371554.8926,0.72,1447.0,32,-420
1702,1695.0,5897.113835201361,67.36,15747.8,1790371564.9403,1790371579.4803,0.755,1612.0,29,-420
1852,1845.0,6473.577593832939,82.51,16301.0,1790371589.6865,1790371602.9501,0.795,1785.0,27,-420
2010,2002.0,7031.003188626416,94.86,16301.0,1790371613.1673,1790371625.3607,0.84,1942.0,24,-420
2167,2152.7,7438.232685272797,99.75,16301.0,1790371635.62,1790371647.1389,0.84,1942.0,23,-420
2317,2292.8,7853.828568611648,107.62,16301.0,1790371657.6676,1790371668.5871,0.84,1942.0,21,-420
2475,2462.2,8461.733965262101,112.63,16301.0,1790371678.5317,1790371688.6587,0.845,1965.0,20,-420
2625,2603.6,8877.030067959578,113.43,15784.3,1790371699.0314,1790371708.6834,0.845,1972.0,19,-420
2782,2775.0,9772.58471654013,128.66,16301.0,1790371718.9397,1790371727.7488,0.855,1987.0,18,-420
2932,2925.0,10315.125071305978,145.48,16301.0,1790371737.6117,1790371745.8965,0.895,2122.0,16,-420
3090,2993.6,10553.084457599334,151.26,15719.8,1790371755.9652,1790371764.0694,0.9225000000000001,2190.0,16,-420
