"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.5","1230","1237","16301","16301","16301","True","-1.5","none","35.63","34.93","36.52","42.9","43","98.5","33.19","True","1790371801.6829","1790371821.604","22.531","19.653","19.922","0.2691","3051917512435.418","FLOP/s","True","37","42","0x0000000000000001;0x0000000000000000"
"1395","1393.3","1387","1395","16301","16301","16301","True","-1.7","none","38.41","24.73","39.94","42.4","43","98.3","35.64","True","1790371832.2058","1790371849.7225","20.408","17.2973","17.515","0.2177","3467553628608.494","FLOP/s","True","33","38","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","40.59","32.41","41.84","42.1","43","96.8","37.35","True","1790371860.443","1790371876.2717","18.177","15.5835","15.8319","0.2485","3848897766594.9614","FLOP/s","True","30","34","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","45.55","26.41","47.64","42.9","43","98.2","41.33","True","1790371886.6657","1790371900.8053","16.609","13.9863","14.1397","0.1534","4288423925726.5503","FLOP/s","True","26","31","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","52.57","25.05","55.04","43.9","45","98","47.22","True","1790371911.2451","1790371924.1749","15.533","12.7645","12.931","0.1666","4698923871977.113","FLOP/s","True","24","29","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","62.85","49.28","64.92","45.5","46","97.7","56.04","True","1790371934.8192","1790371946.7397","14.51","11.7586","11.9215","0.1628","5100861998116.007","FLOP/s","True","22","27","0x0000000000000001;0x0000000000000000"
"2167","2139.3","2137","2145","16301","16301","16301","True","-27.7","none","64.35","39.62","67.64","45.9","47","98.1","56.76","True","1790371957.4548","1790371968.7287","13.418","11.1365","11.2704","0.134","5385839338340.8955","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2317","2274","2265","2280","16301","16301","16301","False","-42.9","below","67.08","51.03","70.07","46.8","48","98","59.12","True","1790371978.8016","1790371989.5085","12.878","10.5764","10.7073","0.1309","5671049671330.856","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2475","2447.6","2445","2460","16301","16301","16301","True","-27.4","none","68.64","27.69","73.58","47.4","48","97.4","60.19","True","1790371999.7731","1790372009.9976","12.819","10.0947","10.2266","0.1319","5941649476748.45","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2625","2573.8","2565","2580","16301","16301","16301","False","-51.2","below","72.7","35.68","77.64","48.1","49","99.3","62.91","True","1790372020.6112","1790372030.1459","11.786","9.4016","9.5332","0.1316","6379704392752.627","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","80.82","56.78","85.11","48.6","50","97.3","68.77","True","1790372040.3199","1790372049.0092","10.723","8.5557","8.688","0.1323","7010403816631.044","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","88.59","35.77","96.78","50.9","52","99.3","74.36","True","1790372059.1631","1790372067.3098","10.216","8.0535","8.1511","0.0976","7447578914087.836","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"3090","3015.5","3015","3022","16301","16301","16301","False","-74.5","below","94.46","27.38","105.32","51.9","53","98.1","83.6","True","1790372077.3233","1790372085.238","10.185","7.814","7.9158","0.1018","7675855074417.585","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
