"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.3","1230","1237","16301","16301","16301","True","-0.7","none","42.31","22.5","44.58","41.4","42","98.4","39.43","True","1790372122.9367","1790372143.2116","23.103","20.0045","20.2776","0.273","2589519244743.629","FLOP/s","True","38","43","0x0000000000000001;0x0000000000000000"
"1395","1391.7","1387","1395","16301","16301","16301","True","-3.3","none","44.85","16.28","47.63","41.8","42","98.2","41.36","True","1790372154.0645","1790372172.0135","20.881","17.7119","17.9492","0.2373","2924716209527.834","FLOP/s","True","34","39","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","48.9","20.53","52.2","42.4","43","98.1","44.71","True","1790372182.9428","1790372199.1136","18.815","15.9244","16.1766","0.2522","3253004666566.086","FLOP/s","True","30","35","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","59.2","29.94","62.47","44","45","98.1","53.53","True","1790372209.7213","1790372224.1403","17.188","14.2149","14.4183","0.2034","3644219577480.4517","FLOP/s","True","27","32","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","68.11","24.49","72.24","45.6","47","97","60.52","True","1790372234.8638","1790372248.0382","15.57","12.9753","13.174","0.1987","3992361696247.605","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","81.88","49.35","86.22","47.7","49","99.3","72.03","True","1790372258.5129","1790372270.6549","14.453","11.9799","12.1415","0.1617","4324094706986.8135","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2167","2147.3","2145","2152","16301","16301","16301","True","-19.7","none","85","50.15","90.21","48.5","50","96.4","74.64","True","1790372280.9653","1790372292.4624","13.93","11.3429","11.5003","0.1574","4566940735980.851","FLOP/s","True","21","26","0x0000000000000001;0x0000000000000000"
"2317","2289.4","2280","2302","16301","16301","16301","True","-27.6","none","90.11","63.9","94.48","50","51","99.4","79.12","True","1790372302.8458","1790372313.7159","13.41","10.7001","10.8725","0.1724","4841271484872.169","FLOP/s","True","20","25","0x0000000000000001;0x0000000000000000"
"2475","2461.7","2452","2467","16301","16301","16301","True","-13.3","none","97.05","61.93","102.61","51.6","53","97.8","83.37","True","1790372324.3579","1790372334.3948","12.315","9.9073","10.0403","0.133","5228660946529.61","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2625","2598.3","2587","2610","16301","16301","16301","True","-26.7","none","98.54","45.22","106.87","52.1","53","98","84.06","True","1790372344.6222","1790372354.2721","11.833","9.5168","9.6491","0.1324","5443253297411.877","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","107.7","62.29","115.28","53.2","55","97.6","91.19","True","1790372364.444","1790372373.2279","11.295","8.6513","8.7877","0.1364","5987804158560.247","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","124.14","85.92","130.89","56.1","58","99.4","104.19","True","1790372383.7737","1790372392.0205","10.757","8.1444","8.2472","0.1028","6360461484740.807","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"3090","3005.9","2985","3015","16301","16301","16301","False","-84.1","below","129.87","48.01","142.7","58.2","60","97","107.42","True","1790372402.6647","1790372410.6647","10.235","7.8991","8.0019","0.1028","6557938518850.766","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
