target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.3,2589.519244743629,42.31,16301.0,1790372122.9367,1790372143.2116,0.72,1245.0,40,-420
1395,1391.7,2924.716209527834,44.85,16301.0,1790372154.0645,1790372172.0135,0.72,1342.0,35,-420
1545,1537.0,3253.004666566086,48.9,16301.0,1790372182.9428,1790372199.1136,0.72,1451.0,32,-420
1702,1695.0,3644.219577480452,59.2,16301.0,1790372209.7213,1790372224.1403,0.755,1605.0,29,-420
1852,1845.0,3992.361696247605,68.11,16301.0,1790372234.8638,1790372248.0382,0.795,1785.0,26,-420
2010,2002.0,4324.094706986813,81.88,16301.0,1790372258.5129,1790372270.6549,0.84,1942.0,24,-420
2167,2147.3,4566.94073598085,85.0,16301.0,1790372280.9653,1790372292.4624,0.84,1942.0,23,-420
2317,2289.4,4841.271484872169,90.11,16301.0,1790372302.8458,1790372313.7159,0.84,1942.0,21,-420
2475,2461.7,5228.660946529611,97.05,16301.0,1790372324.3579,1790372334.3948,0.845,1965.0,19,-420
2625,2598.3,5443.253297411877,98.54,16301.0,1790372344.6222,1790372354.2721,0.845,1965.0,19,-420
2782,2775.0,5987.804158560247,107.7,16301.0,1790372364.444,1790372373.2279,0.855,1987.0,18,-420
2932,2925.0,6360.461484740807,124.14,16301.0,1790372383.7737,1790372392.0205,0.895,2122.0,16,-420
3090,3005.9,6557.938518850766,129.87,16301.0,1790372402.6647,1790372410.6647,0.92,2190.0,16,-420
