"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.2","1230","1237","16301","16301","16301","True","-0.8","none","58.59","56.35","61.24","44.2","45","98","53.08","True","1790372448.3084","1790372466.0671","20.403","17.4888","17.7554","0.2666","7544350225613.86","FLOP/s","True","33","38","0x0000000000000001;0x0000000000000000"
"1395","1387","1387","1387","16301","16301","16301","True","-8","none","64.93","62.69","67.87","45.1","46","98.4","57.44","True","1790372476.7322","1790372492.2398","18.231","15.3141","15.5055","0.1914","8615704860777.487","FLOP/s","True","28","34","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","70.76","33.8","75.38","45.9","47","98.3","63.42","True","1790372502.884","1790372516.8817","16.657","13.7989","13.9976","0.1986","9561716767374.637","FLOP/s","True","26","31","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","80.98","29.81","87.27","47.7","49","97.8","71.68","True","1790372527.4842","1790372540.0137","15.036","12.3416","12.5287","0.1871","10690766373438.633","FLOP/s","True","23","28","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","98.09","65.33","104.11","50.1","51","99.3","85.83","True","1790372550.594","1790372561.981","13.939","11.2635","11.394","0.1305","11714037197036.967","FLOP/s","True","21","26","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","115.53","80.46","122.11","52.8","54","96.2","99.3","True","1790372572.4514","1790372582.9451","12.853","10.3679","10.4965","0.1286","12725919240755.076","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2167","2149.2","2145","2160","16301","16301","16301","True","-17.8","none","119.13","44.85","131.31","54.4","56","99.3","101.74","True","1790372593.3433","1790372603.2326","12.417","9.7631","9.8895","0.1264","13514329958131.137","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2317","2283.7","2272","2302","16301","16301","16301","False","-33.3","below","123.82","44.64","136.86","55.4","58","97.8","105.41","True","1790372613.8235","1790372623.2198","11.8","9.26","9.3935","0.1335","14248499885350.248","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2475","2447.9","2437","2467","16301","16301","16301","True","-27.1","none","136.46","61.27","148.67","56.9","59","97","114.43","True","1790372633.6972","1790372642.381","11.288","8.5527","8.684","0.1312","15426817290682.633","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2625","2581.7","2565","2610","16301","16301","16301","False","-43.3","below","144.98","97.7","155.4","58.5","60","99.3","121.2","True","1790372652.8752","1790372661.2284","10.761","8.2222","8.3547","0.1326","16047002422465.627","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"2782","2763.1","2752","2775","16301","16301","16301","True","-18.9","none","156.26","67.77","171.67","60.8","63","99.3","126.07","True","1790372671.6527","1790372679.1786","9.678","7.4284","7.5231","0.0947","17761709005268.355","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2932","2909","2872","2917","16301","16301","16301","True","-23","none","185.12","131.7","195","64.8","66","99.3","148.46","True","1790372689.3417","1790372696.474","9.172","7.0342","7.134","0.0998","18757036260539.035","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"3090","2913.8","2857","2940","16301","16301","16301","False","-176.2","below","179.5","87.41","193.92","64.6","67","97.2","145.45","True","1790372706.6188","1790372713.7199","9.656","7.0068","7.0974","0.0906","18830570477511.152","FLOP/s","True","13","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
