"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1380","1378.3","1372","1380","13801","13801","13801","True","-1.7","none","62.68","42.03","66.28","44.9","46","98.8","53.23","True","20.117","15.4822","15.6819","0.1997","8522147125680.79","FLOP/s","True","29","37","0x0000000000000400"
"1410","1402","1402","1402","13801","13801","13801","True","-8","none","64.15","39.13","68.54","47","48","98","57.83","True","17.859","15.1916","15.3939","0.2024","8685180259432.551","FLOP/s","True","29","33","0x0000000000000400"
"1440","1432","1432","1432","13801","13801","13801","True","-8","none","65.71","43.81","70.43","49","50","97.1","59.38","True","17.743","14.8519","15.0562","0.2043","8883804900882.256","FLOP/s","True","28","33","0x0000000000000400"
"1470","1462","1462","1462","13801","13801","13801","True","-8","none","65.68","29.16","69.81","50.5","52","99.1","59.3","True","17.74","14.8434","15.0335","0.1901","8888868573129.889","FLOP/s","True","28","33","0x0000000000000400"
"1507","1500","1500","1500","13801","13801","13801","True","-7","none","68.4","41.12","71.99","52.1","53","96.7","61.53","True","17.377","14.4197","14.6211","0.2014","9150097102982.559","FLOP/s","True","27","32","0x0000000000000400"
"1537","1530","1530","1530","13801","13801","13801","True","-7","none","71.2","44.63","76.37","50.8","52","98.7","63.7","True","16.246","13.6725","13.8606","0.1881","9650138092141.545","FLOP/s","True","26","30","0x0000000000000004;0x0000000000000400"
"1567","1560","1560","1560","13801","13801","13801","True","-7","none","70.06","30.13","73.48","49.7","50","98.7","62.78","True","16.738","13.9778","14.1921","0.2143","9439371934637.3","FLOP/s","True","27","31","0x0000000000000400"
"1597","1590","1590","1590","13801","13801","13801","True","-7","none","75.79","48.29","80.47","49.4","50","99.1","67.35","True","15.67","12.8017","13.0262","0.2244","10306527794075.146","FLOP/s","True","24","29","0x0000000000000004;0x0000000000000400"
"1627","1620","1620","1620","13801","13801","13801","True","-7","none","74.55","32.82","81.6","49.1","50","97.3","66.5","True","16.195","13.2457","13.4621","0.2163","9961058165526.215","FLOP/s","True","25","30","0x0000000000000004;0x0000000000000400"
"1665","1657","1657","1657","13801","13801","13801","True","-8","none","79.63","44.56","85.49","49.7","51","98.2","70.24","True","15.12","12.4924","12.6608","0.1684","10561709487788.955","FLOP/s","True","24","28","0x0000000000000004;0x0000000000000400"
"1695","1687","1687","1687","13801","13801","13801","True","-8","none","81.53","36.99","89.44","49.8","51","96.7","71.99","True","15.183","12.412","12.568","0.1559","10630141187400.826","FLOP/s","True","23","28","0x0000000000000400"
"1725","1717","1717","1717","13801","13801","13801","True","-8","none","84.91","56.33","89.99","50.3","52","97.8","75.11","True","15.113","12.1513","12.323","0.1717","10858169514932.56","FLOP/s","True","23","28","0x0000000000000400"
"1755","1747","1747","1747","13801","13801","13801","True","-8","none","88.86","53.2","95.05","50.7","52","97.8","77.87","True","14.572","11.8356","11.9938","0.1582","11147835963645.266","FLOP/s","True","22","27","0x0000000000000400"
