"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1380","1377.9","1372","1380","13801","13801","13801","True","-2.1","none","65.14","18.27","67.86","44.1","45","98.8","58.06","True","1790092782.9984","1790092797.254","16.835","14.0537","14.2599","0.2062","9388404922611.768","FLOP/s","True","27","31","0x0000000000000400"
"1410","1402","1402","1402","13801","13801","13801","True","-8","none","66.61","28.77","69.6","46.4","48","98.2","59.13","True","1790092807.8121","1790092821.7927","16.835","13.7489","13.9809","0.232","9596533482274.883","FLOP/s","True","26","31","0x0000000000000400"
"1440","1432","1432","1432","13801","13801","13801","True","-8","none","67.96","32.41","71.1","48.3","49","100","60.55","True","1790092832.7485","1790092846.4381","16.323","13.4484","13.6854","0.237","9810958009850.312","FLOP/s","True","25","30","0x0000000000000400"
"1470","1462","1462","1462","13801","13801","13801","True","-8","none","70.62","44.15","72.83","49.9","51","99","62.76","True","1790092857.0038","1790092870.3907","15.734","13.1781","13.386","0.2079","10012169227661.486","FLOP/s","True","25","29","0x0000000000000400"
"1507","1500","1500","1500","13801","13801","13801","True","-7","none","71.48","30.15","75.19","51.4","53","97.8","63.51","True","1790092880.7913","1790092893.8255","15.778","12.8465","13.037","0.1905","10270615345658.186","FLOP/s","True","24","29","0x0000000000000004;0x0000000000000400"
"1537","1530","1530","1530","13801","13801","13801","True","-7","none","73.57","35.21","76.98","52.7","53","98.3","64.86","True","1790092904.7172","1790092917.5666","15.257","12.5959","12.8492","0.2533","10474952068163.033","FLOP/s","True","24","28","0x0000000000000004;0x0000000000000400"
"1567","1560","1560","1560","13801","13801","13801","True","-7","none","72.68","51.34","75.99","50.4","51","99.1","65.52","True","1790092928.0041","1790092942.0618","16.774","13.855","14.0574","0.2024","9523004802413.055","FLOP/s","True","26","31","0x0000000000000004;0x0000000000000400"
"1597","1590","1590","1590","13801","13801","13801","True","-7","none","74.2","52.63","76.61","49.2","50","97.8","64.79","True","1790092952.969","1790092966.7504","16.792","13.5853","13.7813","0.196","9712038764972.494","FLOP/s","True","25","31","0x0000000000000004;0x0000000000000400"
"1627","1620","1620","1620","13801","13801","13801","True","-7","none","76.32","39.74","82.94","49","50","96.8","67.82","True","1790092977.6724","1790092990.958","16.242","13.0498","13.2852","0.2354","10110582993553.994","FLOP/s","True","25","30","0x0000000000000004;0x0000000000000400"
"1665","1657","1657","1657","13801","13801","13801","True","-8","none","82.3","29.2","85.98","49.6","50","100","71.84","True","1790093001.7889","1790093013.5971","14.19","11.6586","11.8086","0.1501","11317120030565.309","FLOP/s","True","22","26","0x0000000000000004;0x0000000000000400"
"1695","1687","1687","1687","13801","13801","13801","True","-8","none","85.83","49.26","89.66","50","51","99.8","74.93","True","1790093024.043","1790093035.6134","14.161","11.4091","11.571","0.1619","11564525265096.543","FLOP/s","True","21","26","0x0000000000000400"
"1725","1717","1717","1717","13801","13801","13801","True","-8","none","87.52","31.81","92.67","50.2","51","98.3","76.49","True","1790093046.28","1790093057.6524","14.127","11.2228","11.3785","0.1557","11756520258381.73","FLOP/s","True","21","26","0x0000000000000400"
"1755","1747","1747","1747","13801","13801","13801","True","-8","none","87.93","54.54","95.22","50","51","97.2","77.12","True","1790093068.5006","1790093080.6662","14.6","12.0079","12.1652","0.1573","10987905464799.338","FLOP/s","True","23","27","0x0000000000000400"
