target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1380,1377.3,9380.903552839822,64.55,13801.0,1790093680.5278,1790093694.8146,0.72,1297.0,28,-420
1410,1402.0,9586.81972950137,66.26,13801.0,1790093705.4498,1790093719.4212,0.72,1327.0,28,-420
1440,1432.0,9803.404537126313,68.55,13801.0,1790093729.7631,1790093743.4522,0.72,1350.0,27,-420
1470,1462.0,9999.816234903168,70.39,13801.0,1790093754.2586,1790093767.6687,0.72,1402.0,27,-420
1507,1500.0,10265.49326434846,73.54,13801.0,1790093778.0073,1790093791.0437,0.72,1410.0,26,-420
1537,1530.0,10436.71489363955,73.89,13801.0,1790093801.3736,1790093814.2317,0.72,1462.0,25,-420
1567,1560.0,10617.90109565227,76.55,13801.0,1790093824.6243,1790093837.282,0.72,1477.0,25,-420
1597,1590.0,10872.670437823528,77.59,13801.0,1790093847.9464,1790093860.3008,0.73,1500.0,24,-420
1627,1620.0,11046.682190223964,80.18,13801.0,1790093870.7639,1790093882.8661,0.74,1530.0,24,-420
1665,1657.0,11309.579416166222,81.63,13801.0,1790093893.4021,1790093905.2226,0.745,1582.0,24,-420
1695,1687.0,11556.588406552079,85.76,13801.0,1790093915.6844,1790093927.2445,0.755,1612.0,23,-420
1725,1717.0,11737.43364030983,88.61,13801.0,1790093937.8031,1790093949.1868,0.76,1650.0,23,-420
1755,1747.0,11943.121555995911,91.5,13801.0,1790093959.921,1790093971.1204,0.77,1680.0,22,-420
