"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1755","1747","1747","1747","13801","13801","13801","True","-8","none","89.15","28.97","94.9","47.7","49","100","76.75","True","1790094664.5874","1790094675.778","13.637","11.04","11.1899","0.1498","11951176322725.236","FLOP/s","True","21","25","0x0000000000000400"
"1725","1717","1717","1717","13801","13801","13801","True","-8","none","88.89","53.88","91.96","48.2","49","98.4","77.1","True","1790094686.3025","1790094697.6786","14.17","11.2374","11.3758","0.1383","11741227761625.42","FLOP/s","True","21","26","0x0000000000000400"
"1695","1687","1687","1687","13801","13801","13801","True","-8","none","83.66","32.43","89","48.6","50","97.7","73.09","True","1790094708.5475","1790094720.1179","14.19","11.4221","11.5743","0.1522","11551384155587.072","FLOP/s","True","21","26","0x0000000000000400"
"1665","1657","1657","1657","13801","13801","13801","True","-8","none","82.78","51.53","85.55","48.5","49","99.7","72.28","True","1790094730.8031","1790094742.6258","14.138","11.6705","11.8245","0.154","11305580423390.58","FLOP/s","True","22","26","0x0000000000000004;0x0000000000000400"
"1627","1620","1620","1620","13801","13801","13801","True","-7","none","79.94","42.19","83.26","48.5","49","100","70.29","True","1790094752.9334","1790094765.0187","14.702","11.9422","12.0893","0.1472","11048364329997.262","FLOP/s","True","22","27","0x0000000000000004;0x0000000000000400"
"1597","1590","1590","1590","13801","13801","13801","True","-7","none","78.15","57.42","80.35","48","49","97.4","68.99","True","1790094775.6941","1790094788.0678","14.695","12.1425","12.3735","0.231","10866070194277.637","FLOP/s","True","23","27","0x0000000000000004;0x0000000000000400"
"1567","1560","1560","1560","13801","13801","13801","True","-7","none","75.49","35.6","78.71","47.7","49","98.5","66.77","True","1790094798.5246","1790094811.1701","15.254","12.4247","12.6491","0.2244","10619319447185.287","FLOP/s","True","23","28","0x0000000000000004;0x0000000000000400"
"1537","1530","1530","1530","13801","13801","13801","True","-7","none","74.44","47.85","76.65","47.5","48","100","65.83","True","1790094821.8241","1790094834.6825","15.235","12.6427","12.8599","0.2172","10436184831018.605","FLOP/s","True","24","28","0x0000000000000004;0x0000000000000400"
"1507","1500","1500","1500","13801","13801","13801","True","-7","none","70.88","30.1","74.55","47.3","48","98.5","63.01","True","1790094845.0764","1790094858.1404","15.825","12.8573","13.0647","0.2074","10262019816449.496","FLOP/s","True","24","29","0x0000000000000004;0x0000000000000400"
"1470","1462","1462","1462","13801","13801","13801","True","-8","none","69.71","32.92","72.72","47","48","100","61.73","True","1790094869.0143","1790094882.4219","15.828","13.1965","13.4083","0.2118","9998208944695.377","FLOP/s","True","25","29","0x0000000000000400"
"1440","1432","1432","1432","13801","13801","13801","True","-8","none","69.04","39.14","71.3","46.7","47","98.5","61.5","True","1790094892.9024","1790094906.5972","16.296","13.4597","13.6888","0.2291","9802684489071.373","FLOP/s","True","26","30","0x0000000000000400"
"1410","1402","1402","1402","13801","13801","13801","True","-8","none","67.62","22.21","70.49","46.6","47","100","60.2","True","1790094917.2549","1790094931.2321","16.391","13.7651","13.9798","0.2147","9585213069325.314","FLOP/s","True","26","30","0x0000000000000400"
"1380","1377.8","1372","1380","13801","13801","13801","True","-2.2","none","66.1","27.49","68.96","46.3","47","99.7","59.18","True","1790094941.6292","1790094955.9071","16.859","14.073","14.2785","0.2055","9375487259265.969","FLOP/s","True","26","31","0x0000000000000400"
