"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1530","1522","1522","1522","13801","13801","13801","True","-8","none","72.21","39.31","75.05","45.8","47","100","63.76","True","1790095147.4346","1790095160.3566","15.818","12.6746","12.9193","0.2448","10409920842604.889","FLOP/s","True","24","29","0x0000000000000004;0x0000000000000400"
"1537","1530","1530","1530","13801","13801","13801","True","-7","none","74.09","56.51","76.33","47.8","49","97.5","65.26","True","1790095171.2083","1790095184.0719","15.249","12.6322","12.859","0.2268","10444805831626.248","FLOP/s","True","24","28","0x0000000000000004;0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","74.45","44.04","77.5","49.5","51","99.8","65.61","True","1790095194.4867","1790095207.3265","15.212","12.5942","12.8407","0.2466","10476389631114.47","FLOP/s","True","24","28","0x0000000000000004;0x0000000000000400"
"1552","1545","1545","1545","13801","13801","13801","True","-7","none","75.34","53.89","77.65","51.2","53","98.7","66.42","True","1790095217.8312","1790095230.5778","15.234","12.5036","12.742","0.2384","10552245650572.041","FLOP/s","True","24","28","0x0000000000000004;0x0000000000000400"
"1560","1552","1552","1552","13801","13801","13801","True","-8","none","75.2","34.74","78.69","52.6","53","100","66.47","True","1790095241.105","1790095253.7629","15.246","12.4754","12.6624","0.187","10576166303631.838","FLOP/s","True","23","28","0x0000000000000004;0x0000000000000400"
"1567","1560","1560","1560","13801","13801","13801","True","-7","none","76.68","47.31","79.75","51.3","52","100","67.89","True","1790095264.4036","1790095277.0033","15.266","12.3878","12.6006","0.2128","10650947764742.215","FLOP/s","True","23","28","0x0000000000000004;0x0000000000000400"
"1575","1567","1567","1567","13801","13801","13801","True","-8","none","75.57","30.72","79.84","49.8","51","98.7","66.81","True","1790095287.7026","1790095300.3124","15.28","12.3724","12.6064","0.234","10664142873134.955","FLOP/s","True","23","28","0x0000000000000004;0x0000000000000400"
"1582","1575","1575","1575","13801","13801","13801","True","-7","none","76.74","41.51","80.1","49.6","50","98.3","67.78","True","1790095311.0312","1790095323.5006","15.265","12.2276","12.4654","0.2377","10790434680394.924","FLOP/s","True","23","28","0x0000000000000004;0x0000000000000400"
"1590","1582","1582","1582","13801","13801","13801","True","-8","none","78","55.74","80.44","48.8","50","96.9","68.29","True","1790095334.3251","1790095346.7202","15.225","12.178","12.3937","0.2158","10834443823321.965","FLOP/s","True","23","28","0x0000000000000004;0x0000000000000400"
"1597","1590","1590","1590","13801","13801","13801","True","-7","none","77.46","40.51","80.75","48.8","49","100","67.9","True","1790095357.5115","1790095369.8768","14.704","12.1275","12.366","0.2385","10879519479376.424","FLOP/s","True","23","27","0x0000000000000004;0x0000000000000400"
"1605","1597","1597","1597","13801","13801","13801","True","-8","none","79.33","58.69","81.82","48.6","50","96.6","70.06","True","1790095380.2932","1790095392.5739","14.656","12.0621","12.2841","0.2221","10938524454179.94","FLOP/s","True","23","27","0x0000000000000004;0x0000000000000400"
"1612","1605","1605","1605","13801","13801","13801","True","-7","none","79.37","46.47","82.23","48.7","49","100","69.77","True","1790095402.9745","1790095415.188","14.727","12.0149","12.2143","0.1994","10981445841879.945","FLOP/s","True","22","27","0x0000000000000004;0x0000000000000400"
"1620","1612","1612","1612","13801","13801","13801","True","-8","none","80.37","57.25","82.69","48.3","49","96","70.47","True","1790095425.8162","1790095437.9344","14.688","11.9715","12.118","0.1466","11021337417142.4","FLOP/s","True","22","27","0x0000000000000004;0x0000000000000400"
