"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1402","1401","1395","1402","13801","13801","13801","True","-1","none","54.66","20","57.96","47.9","48","98.3","49.54","True","1790104162.5913","1790104174.1662","13.594","11.3929","11.5726","0.1796","339286687505.637","byte/s","True","21","25","0x0000000000000400"
"1477","1470","1470","1470","13801","13801","13801","True","-7","none","55.17","13.19","59.25","48.4","49","98.6","49.78","True","1790104184.2627","1790104195.3982","13.108","10.9654","11.1291","0.1637","352516213078.6571","byte/s","True","21","24","0x0000000000000400"
"1560","1552","1552","1552","13151.4","810","13801","True","-8","none","54.89","11.91","60.47","48.8","49","93.2","49.72","True","1790104205.5064","1790104216.3552","13.047","10.6707","10.8481","0.1774","362249918567.06866","byte/s","True","20","24","0x0000000000000400"
"1635","1627","1627","1627","13151.4","810","13801","True","-8","none","57.06","12.17","62.55","49.6","50","92.9","51.26","True","1790104226.6228","1790104237.2166","12.498","10.3926","10.5948","0.2022","371944507823.9153","byte/s","True","20","23","0x0000000000000400"
"1710","1702","1702","1702","13117.3","810","13801","True","-8","none","60.75","12.63","65.45","50.2","51","91.4","54.68","True","1790104247.069","1790104257.4043","12.555","10.1509","10.3341","0.1832","380800971800.1127","byte/s","True","19","23","0x0000000000000400"
"1792","1785","1785","1785","13801","13801","13801","True","-7","none","63","15.98","68.19","50.9","52","98.5","56.49","True","1790104267.7492","1790104277.947","12.009","10.0249","10.1974","0.1725","385586660521.2318","byte/s","True","19","22","0x0000000000000400"
"1867","1860","1860","1860","13801","13801","13801","True","-7","none","64.35","17.23","69.74","51.8","52","99.2","57.59","True","1790104287.7299","1790104297.8554","11.997","9.979","10.1302","0.1512","387359496701.30945","byte/s","True","19","22","0x0000000000000400"
"1942","1935","1935","1935","13801","13801","13801","True","-7","none","66.57","14.18","73.12","52.5","53","93.9","59.5","True","1790104307.8717","1790104317.9495","11.98","9.9554","10.0797","0.1243","388278218373.2619","byte/s","True","19","22","0x0000000000000400"
"2025","2017","2017","2017","13801","13801","13801","True","-8","none","67.91","15.8","74.27","49.9","50","94.6","61.41","True","1790104327.8235","1790104337.8992","12.046","9.9417","10.0785","0.1368","388813395488.32764","byte/s","True","18","22","0x0000000000000400"
"2100","2083.7","2077","2085","13801","13801","13801","True","-16.3","none","67.92","14.32","73.88","47.8","48","94.7","60.66","True","1790104347.8935","1790104357.9775","11.984","9.9402","10.0803","0.1401","388871203719.65894","byte/s","True","19","22","0x0000000000000400"
