"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1402","1400","1395","1402","15563.3","810","16301","True","-2","none","53.6","10.37","59.01","38.7","40","92.8","48.58","True","1790105015.6999","1790105027.014","13.655","11.1268","11.3136","0.1869","347403118449.91846","byte/s","True","21","25","0x0000000000000001;0x0000000000000000"
"1477","1470","1470","1470","16301","16301","16301","True","-7","none","56.44","14.03","60.66","40.4","41","99.8","50.56","True","1790105037.4224","1790105048.0478","12.523","10.4567","10.6237","0.167","369663033957.3224","byte/s","True","20","23","0x0000000000000001;0x0000000000000000"
"1560","1552","1552","1552","16301","16301","16301","True","-8","none","58.01","12.07","63.38","41.7","43","96.7","52.18","True","1790105057.996","1790105068.1568","12.512","9.9997","10.1635","0.1638","386556875184.64886","byte/s","True","19","23","0x0000000000000001;0x0000000000000000"
"1635","1627","1627","1627","16301","16301","16301","True","-8","none","59.57","11.48","65.55","43.1","44","94.7","53.01","True","1790105078.5443","1790105088.4414","11.939","9.7524","9.8962","0.1439","396362067462.437","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1710","1702","1702","1702","16301","16301","16301","True","-8","none","63.25","14.18","68.77","44.4","45","98.8","56.27","True","1790105098.4448","1790105107.9491","11.423","9.3599","9.5078","0.1479","412982147122.85223","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
"1792","1785","1785","1785","16301","16301","16301","True","-7","none","65.09","13.47","71.54","45.5","46","95.5","57.91","True","1790105117.9994","1790105127.2287","11.454","9.0755","9.2265","0.151","425922069782.58704","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1867","1860","1860","1860","16301","16301","16301","True","-7","none","67.23","12.87","74.49","46.9","48","94.4","59.13","True","1790105137.5196","1790105146.4808","10.891","8.8175","8.9658","0.1482","438383777043.3619","byte/s","True","17","20","0x0000000000000001;0x0000000000000000"
"1942","1935","1935","1935","16301","16301","16301","True","-7","none","70.72","16.13","77.33","48.1","49","97.9","62.86","True","1790105156.4459","1790105165.2663","10.885","8.6804","8.8202","0.1398","445310158427.3767","byte/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2025","2017","2017","2017","16301","16301","16301","True","-8","none","73.87","27.06","79.55","49.1","50","97.3","65.07","True","1790105175.2617","1790105183.9454","10.876","8.5618","8.6802","0.1184","451478094403.3853","byte/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2100","2085","2085","2085","15332.8","810","16301","True","-15","none","71.23","14.39","79.82","49.9","51","91","63.2","True","1790105194.2947","1790105203.0059","10.908","8.5624","8.7065","0.1441","451448909346.4706","byte/s","True","16","20","0x0000000000000001;0x0000000000000000"
