target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1402,1400.0,347.40311844991845,53.6,15563.3,1790105015.6999,1790105027.014,0.725,1335.0,22,-420
1477,1470.0,369.6630339573224,56.44,16301.0,1790105037.4224,1790105048.0478,0.72,1417.0,21,-420
1560,1552.0,386.55687518464885,58.01,16301.0,1790105057.996,1790105068.1568,0.73,1492.0,20,-420
1635,1627.0,396.36206746243704,59.57,16301.0,1790105078.5443,1790105088.4414,0.74,1545.0,20,-420
1710,1702.0,412.9821471228522,63.25,16301.0,1790105098.4448,1790105107.9491,0.76,1635.0,19,-420
1792,1785.0,425.922069782587,65.09,16301.0,1790105117.9994,1790105127.2287,0.78,1713.5,18,-420
1867,1860.0,438.3837770433619,67.23,16301.0,1790105137.5196,1790105146.4808,0.805,1807.0,17,-420
1942,1935.0,445.31015842737673,70.72,16301.0,1790105156.4459,1790105165.2663,0.82,1867.0,18,-420
2025,2017.0,451.47809440338534,73.87,16301.0,1790105175.2617,1790105183.9454,0.845,1935.0,17,-420
2100,2085.0,451.4489093464706,71.23,15332.8,1790105194.2947,1790105203.0059,0.8425,1935.0,18,-420
