target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1552,1545.0,360.8923828271912,55.32,13151.4,1790266291.0681,1790266301.9605,0.72,1462.0,22,-420
1567,1560.0,361.4852854169281,56.76,13801.0,1790266312.287,1790266323.1615,0.72,1462.0,22,-420
1582,1575.0,365.30884774840786,56.1,13801.0,1790266333.5018,1790266344.2581,0.73,1492.0,22,-420
1590,1582.0,368.6354402907937,56.71,13811.0,1790266354.5667,1790266365.2405,0.735,1522.0,21,-420
1605,1597.0,368.5272918918445,56.44,13151.4,1790266375.2072,1790266385.8759,0.735,1522.0,21,-420
1620,1612.0,371.2585657870001,58.1,13151.4,1790266395.6645,1790266406.2597,0.74,1545.0,22,-420
1627,1620.0,370.9331736752125,58.18,13801.0,1790266416.224,1790266426.833,0.74,1545.0,21,-420
1642,1635.0,374.59429582207116,57.59,13801.0,1790266436.9209,1790266447.4224,0.745,1575.0,21,-420
1657,1650.0,374.49162448992683,57.47,13801.0,1790266457.5097,1790266468.0173,0.745,1575.0,21,-420
1672,1658.6,374.2563363372373,56.98,13811.0,1790266478.0551,1790266488.5805,0.745,1575.0,21,-420
1687,1680.0,377.7803685198479,57.54,13117.3,1790266498.6141,1790266509.0312,0.755,1605.0,21,-420
1695,1687.0,377.5891652662522,57.16,13117.3,1790266519.1628,1790266529.5873,0.755,1605.0,20,-420
1710,1702.0,379.9104839757211,58.34,13117.3,1790266539.6807,1790266550.0385,0.76,1635.0,20,-420
