"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1552","1545","1545","1545","16301","16301","16301","True","-7","none","58.47","12.97","63.52","42.9","43","98.7","52.58","True","1790266620.4864","1790266630.8758","12.547","10.1773","10.388","0.2107","379812565851.73224","byte/s","True","19","23","0x0000000000000001;0x0000000000000000"
"1567","1560","1560","1560","16301","16301","16301","True","-7","none","58.63","11.59","64.48","41.9","43","94.9","52.43","True","1790266641.1128","1790266651.2615","12.476","10.0006","10.1476","0.147","386525496247.81836","byte/s","True","19","23","0x0000000000000001;0x0000000000000000"
"1582","1575","1575","1575","16301","16301","16301","True","-7","none","58.94","11.66","64.56","41.8","42","94.8","52.49","True","1790266661.5883","1790266671.7412","11.984","10.0022","10.155","0.1528","386462734336.0179","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1590","1582","1582","1582","16301","16301","16301","True","-8","none","59.49","12.02","65.25","41.6","42","94.6","53.33","True","1790266681.6026","1790266691.5876","12.007","9.858","9.9902","0.1322","392115409142.1742","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1605","1597","1597","1597","16311.5","16301","16501","True","-8","none","59.03","11.53","65.25","41.1","42","94.6","52.65","True","1790266701.6527","1790266711.657","11.888","9.864","10.0053","0.1413","391877166076.8283","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1620","1612","1612","1612","16301","16301","16301","True","-8","none","59.93","11.57","65.73","40.8","41","94.4","53.61","True","1790266721.5898","1790266731.4742","11.936","9.7576","9.8875","0.1299","396149941173.49524","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1627","1620","1620","1620","16301","16301","16301","True","-7","none","59.8","11.37","65.71","40.8","41","92.7","53.51","True","1790266741.626","1790266751.5055","11.959","9.7597","9.879","0.1194","396066137923.48914","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1642","1635","1635","1635","16301","16301","16301","True","-7","none","60.2","11.52","66.46","40.8","41","94.6","53.67","True","1790266761.5911","1790266771.3592","11.943","9.6241","9.7661","0.1419","401644766952.7617","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1657","1650","1650","1650","16301","16301","16301","True","-7","none","60.12","11.48","66.43","40.7","41","94.5","53.75","True","1790266781.6332","1790266791.4051","11.95","9.6306","9.7718","0.1412","401372896441.7548","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1672","1659.7","1657","1665","16301","16301","16301","True","-12.3","none","60.51","12.45","66.53","40.8","41","94.8","54.27","True","1790266801.5696","1790266811.3607","11.979","9.6321","9.7918","0.1597","401309403642.2207","byte/s","True","18","22","0x0000000000000001;0x0000000000000000"
"1687","1680","1680","1680","15440.4","810","16301","True","-7","none","61.13","12.03","67.87","40.8","41","94.4","54.17","True","1790266821.689","1790266831.2979","11.429","9.4764","9.6119","0.1355","407905804034.65186","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
"1695","1687","1687","1687","16301","16301","16301","True","-8","none","62.33","13.11","67.92","40.8","41","94.6","55.21","True","1790266841.1224","1790266850.7475","11.421","9.4764","9.6171","0.1406","407904878580.57336","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
"1710","1702","1702","1702","16301","16301","16301","True","-8","none","62.87","13.13","68.79","40.8","41","92.7","55.88","True","1790266860.6283","1790266870.1282","11.44","9.3718","9.5008","0.1289","412456330049.2997","byte/s","True","18","21","0x0000000000000001;0x0000000000000000"
