"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1005","1003.8","997","1005","13801","13801","13801","True","-1.2","none","50.82","48.61","53.19","44.2","45","99.1","47.15","True","1790131994.4098","1790132016.5305","24.9","21.8403","22.124","0.2836","6041176308945.794","FLOP/s","True","41","46","0x0000000000000400"
"1057","1056.5","1050","1057","13801","13801","13801","True","-0.5","none","52.45","50.05","55.06","43.6","44","98.5","48.61","True","1790132027.3363","1790132048.3461","23.674","20.7444","21.0096","0.2653","6360350067049.562","FLOP/s","True","39","44","0x0000000000000400"
"1102","1101.2","1095","1102","13801","13801","13801","True","-0.8","none","53.58","47.03","57.04","43.3","44","95.7","49.03","True","1790132059.0747","1790132079.1025","22.715","19.7211","20.0273","0.3062","6690365474775.995","FLOP/s","True","37","42","0x0000000000000400"
"1155","1154.3","1147","1155","13801","13801","13801","True","-0.7","none","55.21","53.13","57.65","43.6","44","98.8","50.52","True","1790132089.8051","1790132108.7369","21.543","18.678","18.9288","0.2508","7064003430961.502","FLOP/s","True","35","40","0x0000000000000400"
"1200","1198.8","1192","1200","13801","13801","13801","True","-1.2","none","56.96","54.58","59.82","43.8","45","98.2","51.81","True","1790132119.3646","1790132137.6665","21.045","18.0233","18.3035","0.2802","7320599335196.105","FLOP/s","True","33","39","0x0000000000000400"
"1252","1251.8","1245","1252","13801","13801","13801","True","-0.2","none","58.14","32.52","62.14","43.9","45","96.9","53.15","True","1790132148.3989","1790132165.7997","19.999","17.1456","17.3981","0.2525","7695369348109.469","FLOP/s","True","33","37","0x0000000000000400"
"1297","1295.2","1290","1297","13801","13801","13801","True","-1.8","none","60.34","50.87","64.05","44.2","45","97","54.03","True","1790132176.4821","1790132193.2733","19.391","16.5237","16.7913","0.2676","7984958862471.527","FLOP/s","True","31","36","0x0000000000000400"
"1350","1348.9","1342","1350","13801","13801","13801","True","-1.1","none","61.99","33.51","66.47","44.6","46","99.1","56.38","True","1790132203.8659","1790132219.8546","18.851","15.7685","15.9882","0.2197","8367417451892.637","FLOP/s","True","30","35","0x0000000000000400"
"1402","1395","1395","1395","13801","13801","13801","True","-7","none","64.27","39.62","68.07","44.9","46","99.3","58.19","True","1790132230.7252","1790132246.1181","18.287","15.1802","15.3933","0.2132","8691688345905.177","FLOP/s","True","29","34","0x0000000000000400"
"1447","1440","1440","1440","13801","13801","13801","True","-7","none","64.87","25.79","69.68","45.3","46","99.3","58.3","True","1790132257.0426","1790132271.9244","17.268","14.6776","14.8821","0.2045","8989314746970.46","FLOP/s","True","28","32","0x0000000000000400"
"1500","1492","1492","1492","13801","13801","13801","True","-8","none","68.34","37.63","73.34","45.7","47","98.7","61.2","True","1790132282.2882","1790132296.571","16.697","14.0855","14.2831","0.1975","9367145697544.143","FLOP/s","True","27","31","0x0000000000000004;0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","71.32","54.5","75.77","46","47","98.3","63.62","True","1790132307.0245","1790132321.007","16.738","13.7889","13.9833","0.1944","9568637304270.035","FLOP/s","True","26","31","0x0000000000000004;0x0000000000000400"
"1597","1590","1590","1590","13801","13801","13801","True","-7","none","74.1","38.64","79.13","46.9","48","99.4","65.72","True","1790132331.8132","1790132345.1794","15.692","13.1732","13.3661","0.1929","10015894491164.266","FLOP/s","True","25","29","0x0000000000000004;0x0000000000000400"
"1642","1635","1635","1635","13801","13801","13801","True","-7","none","76.72","24.29","82.2","47.5","48","98","68.15","True","1790132355.5349","1790132368.6023","15.583","12.8451","13.0683","0.2232","10271765857556.475","FLOP/s","True","24","29","0x0000000000000004;0x0000000000000400"
"1695","1687","1687","1687","13801","13801","13801","True","-8","none","81.74","47.52","86.89","48.3","49","98.1","72.25","True","1790132379.1423","1790132391.6926","15.111","12.3441","12.5501","0.206","10688632305550.824","FLOP/s","True","23","28","0x0000000000000400"
