target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.8,333.70100730547335,49.4,13801.0,1790194110.0637,1790194119.7666,0.725,1230.0,20,-420
1395,1393.6,351.0398786581345,51.41,13801.0,1790194129.6272,1790194138.8585,0.725,1335.0,19,-420
1545,1537.0,365.56669990617775,52.93,13801.0,1790194148.5888,1790194157.4611,0.725,1447.0,18,-420
1702,1695.0,378.66068616869467,56.53,13801.0,1790194167.5669,1790194176.1333,0.76,1635.0,17,-420
1852,1845.0,382.6047549522378,59.48,12934.9,1790194185.9684,1790194194.4426,0.795,1770.0,17,-420
2010,2002.0,383.63963488756343,60.95,12934.9,1790194204.3703,1790194212.8284,0.84,1935.0,16,-420
2167,2153.1,383.898096703827,62.33,13801.0,1790194222.8057,1790194231.2563,0.845,1950.0,17,-420
2317,2310.0,384.1762566003246,66.54,13801.0,1790194241.2268,1790194249.6763,0.885,2085.0,17,-420
2475,2467.0,384.29053982893646,73.26,13801.0,1790194259.6032,1790194268.0489,0.93,2212.0,17,-420
2625,2617.0,384.32844882598755,81.42,13801.0,1790194278.0286,1790194286.478,0.98,2340.0,17,-420
2782,2752.5,384.287532599858,84.42,12934.9,1790194296.4213,1790194304.8823,1.02,2422.0,17,-420
2932,2747.4,384.31488623491225,85.46,13801.0,1790194314.8112,1790194323.2587,1.02,2422.0,17,-420
3090,2752.5,384.30383697067765,85.98,13801.0,1790194333.269,1790194341.7056,1.02,2422.0,17,-420
