"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.8","1230","1237","13801","13801","13801","True","-1.2","none","60.41","14.87","65.83","41.6","43","94.2","52.39","True","1790194652.6598","1790194661.9235","10.946","9.1283","9.2632","0.1349","341784407809.46185","byte/s","True","17","20","0x0000000000000400"
"1395","1392.5","1387","1395","13801","13801","13801","True","-2.5","none","61.91","13.77","67.61","43.2","44","95.9","54.1","True","1790194671.6919","1790194680.5347","10.921","8.7096","8.8433","0.1337","358216685751.52264","byte/s","True","16","20","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","63.35","18.03","69.41","44.3","45","95.7","55.08","True","1790194690.6348","1790194699.1249","10.369","8.3492","8.4905","0.1413","373676561993.5252","byte/s","True","15","19","0x0000000000000400"
"1702","1695","1695","1695","12934.9","810","13801","True","-7","none","67.81","7.92","74.67","45.8","47","93.3","58.71","True","1790194709.0624","1790194717.4185","10.331","8.1981","8.3565","0.1584","380565980725.35425","byte/s","True","15","19","0x0000000000000400"
"1852","1845","1845","1845","12934.9","810","13801","True","-7","none","70.48","10.47","80.44","47.3","48","93.3","61.34","True","1790194727.4548","1790194735.8421","10.363","8.2548","8.385","0.1302","377952094328.1716","byte/s","True","15","19","0x0000000000000400"
"2010","2002","2002","2002","12989.1","810","13801","True","-8","none","77.79","9.23","87.14","49","50","93.9","67.01","True","1790194745.9547","1790194754.3505","10.376","8.2587","8.3965","0.1377","377770388755.5852","byte/s","True","16","19","0x0000000000000400"
"2167","2152.5","2152","2160","13801","13801","13801","True","-14.5","none","80.73","21.67","88.99","50.3","51","94.8","70.29","True","1790194764.2674","1790194772.6674","10.388","8.258","8.3992","0.1412","377803934269.77075","byte/s","True","15","19","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","86.25","26","95.04","52.3","53","97.7","74.75","True","1790194782.6994","1790194791.1046","10.33","8.2604","8.4049","0.1445","377696388285.465","byte/s","True","15","19","0x0000000000000400"
"2475","2467","2467","2467","12934.9","810","13801","True","-8","none","92.38","11.32","100.82","51.5","52","93.3","79.93","True","1790194801.0721","1790194809.461","10.37","8.2605","8.3886","0.1281","377689762996.5417","byte/s","True","15","19","0x0000000000000400"
"2625","2617","2617","2617","12934.9","810","13801","True","-8","none","99.12","15.77","112.01","51.8","53","93.3","86.5","True","1790194819.4894","1790194827.8978","10.349","8.2614","8.4084","0.1471","377649810438.046","byte/s","True","15","19","0x0000000000000400"
"2782","2746.5","2745","2760","13814.3","13801","14001","False","-35.5","below","106.61","17.32","119.46","52.1","53","93.6","93.23","True","1790194837.9329","1790194846.3523","10.383","8.2634","8.4196","0.1562","377558366034.432","byte/s","True","15","19","0x0000000000000400"
"2932","2746.5","2745","2760","13801","13801","13801","False","-185.5","below","108.12","26.34","119.39","51.9","53","95.1","94.47","True","1790194856.3172","1790194864.7161","10.34","8.2624","8.399","0.1366","377604857344.1844","byte/s","True","15","19","0x0000000000000400"
"3090","2746.9","2745","2760","13801","13801","13801","False","-343.1","below","109.97","33.55","119.77","52.3","53","98.7","95.5","True","1790194874.6971","1790194883.0933","10.381","8.2626","8.3956","0.133","377593377395.20575","byte/s","True","15","19","0x0000000000000400"
