"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.6","1230","1237","13079.3","810","13801","True","-0.4","none","56.52","7.3","61.1","41.8","42","92.3","50.03","True","1790194920.1097","1790194930.2044","12.034","9.9452","10.0948","0.1496","192690406690.4825","FLOP/s","True","18","22","0x0000000000000400"
"1395","1392.8","1387","1395","13801","13801","13801","True","-2.2","none","58.88","16.69","63.35","41.7","42","95.3","51.68","True","1790194940.2393","1790194949.8106","11.43","9.4307","9.5715","0.1408","203202216857.80777","FLOP/s","True","18","21","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","60.46","20.23","65.12","41.6","42","95.9","52.58","True","1790194959.7029","1790194968.913","10.906","9.0641","9.21","0.1459","211421485956.38333","FLOP/s","True","17","20","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","64.99","22.71","70.14","41.9","42","97.5","56.54","True","1790194978.6557","1790194987.5764","10.9","8.7663","8.9205","0.1542","218603940753.7971","FLOP/s","True","16","20","0x0000000000000400"
"1852","1845","1845","1845","12989.1","810","13801","True","-7","none","66.4","7.96","74.35","42.2","43","92.7","57.83","True","1790194997.5925","1790195006.3225","10.893","8.5975","8.7303","0.1329","222896642752.20175","FLOP/s","True","16","20","0x0000000000000400"
"2010","2002","2002","2002","12989.1","810","13801","True","-8","none","72.09","11.06","81.22","42.8","44","93.8","62.37","True","1790195016.5308","1790195025.1272","10.382","8.4697","8.5963","0.1266","226259864159.72827","FLOP/s","True","16","19","0x0000000000000400"
"2167","2152.5","2152","2160","13801","13801","13801","True","-14.5","none","73.94","11.83","82.84","43.3","44","93.9","64.05","True","1790195034.9636","1790195043.5263","10.378","8.3998","8.5623","0.1625","228140847813.69446","FLOP/s","True","16","19","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","79.73","14.4","88.6","44.1","45","96.7","69.44","True","1790195053.3828","1790195061.8488","10.37","8.3164","8.4642","0.1478","230429369631.6455","FLOP/s","True","15","19","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","86.26","19.2","95.15","45.1","46","98","74.69","True","1790195071.7998","1790195080.1855","10.381","8.2527","8.3854","0.1327","232207767782.8945","FLOP/s","True","15","19","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","96.49","27.98","105.5","46.7","48","97.5","83.82","True","1790195090.2215","1790195098.5553","10.335","8.2025","8.3342","0.1317","233628444983.3423","FLOP/s","True","15","19","0x0000000000000400"
"2782","2753.5","2752","2775","12934.9","810","13801","True","-28.5","none","101.2","16.48","113.84","47.7","49","93.3","88.31","True","1790195108.5971","1790195116.9168","10.365","8.1664","8.3189","0.1525","234661001954.2437","FLOP/s","True","15","19","0x0000000000000400"
"2932","2753.5","2752","2775","13814.3","13801","14001","False","-178.5","below","100.72","16.68","113.95","48.2","50","93.3","87.69","True","1790195127.0046","1790195135.3141","10.368","8.1684","8.31","0.1416","234603661246.23526","FLOP/s","True","15","19","0x0000000000000400"
"3090","2753.5","2752","2775","13801","13801","13801","False","-336.5","below","102.77","17.26","114.13","48.7","50","94.9","89.85","True","1790195145.41","1790195153.7252","10.36","8.1688","8.3153","0.1465","234593052265.99124","FLOP/s","True","15","19","0x0000000000000400"
