target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.6,192.69040669048252,56.52,13079.3,1790194920.1097,1790194930.2044,0.72,1245.0,20,-420
1395,1392.8,203.20221685780777,58.88,13801.0,1790194940.2393,1790194949.8106,0.72,1342.0,20,-420
1545,1537.0,211.42148595638332,60.46,13801.0,1790194959.7029,1790194968.913,0.72,1462.0,19,-420
1702,1695.0,218.60394075379708,64.99,13801.0,1790194978.6557,1790194987.5764,0.76,1635.0,18,-420
1852,1845.0,222.89664275220176,66.4,12989.1,1790194997.5925,1790195006.3225,0.795,1777.0,17,-420
2010,2002.0,226.25986415972827,72.09,12989.1,1790195016.5308,1790195025.1272,0.84,1935.0,17,-420
2167,2152.5,228.14084781369445,73.94,13801.0,1790195034.9636,1790195043.5263,0.845,1957.0,17,-420
2317,2310.0,230.4293696316455,79.73,13801.0,1790195053.3828,1790195061.8488,0.885,2085.0,17,-420
2475,2467.0,232.2077677828945,86.26,13801.0,1790195071.7998,1790195080.1855,0.93,2212.0,17,-420
2625,2617.0,233.6284449833423,96.49,13801.0,1790195090.2215,1790195098.5553,0.98,2340.0,16,-420
2782,2753.5,234.66100195424372,101.2,12934.9,1790195108.5971,1790195116.9168,1.02,2430.0,16,-420
2932,2753.5,234.60366124623525,100.72,13814.3,1790195127.0046,1790195135.3141,1.02,2430.0,17,-420
3090,2753.5,234.59305226599125,102.77,13801.0,1790195145.41,1790195153.7252,1.02,2430.0,17,-420
