target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.4,4465.810428015763,61.48,13801.0,1790196011.7243,1790196030.1288,0.72,1245.0,37,-420
1395,1392.6,5032.602283816931,67.39,13801.0,1790196040.0502,1790196056.3485,0.72,1327.0,33,-420
1545,1537.0,5560.719372626589,71.74,13801.0,1790196066.6781,1790196081.4524,0.72,1455.0,29,-420
1702,1695.0,6133.517805081271,82.44,13801.0,1790196091.6661,1790196105.0534,0.76,1612.0,26,-420
1852,1845.0,6669.466257952023,96.78,13801.0,1790196114.9659,1790196127.2712,0.795,1785.0,25,-420
2010,2002.0,7239.064490579191,109.04,13801.0,1790196137.2359,1790196148.5987,0.84,1942.0,22,-420
2167,2160.0,7714.531258427655,118.39,13801.0,1790196158.3977,1790196169.0447,0.84,1942.0,21,-420
2317,2310.0,8352.408276300404,133.02,13801.0,1790196179.0283,1790196188.8439,0.885,2085.0,20,-420
2475,2467.0,8921.89399997447,155.84,13801.0,1790196199.0572,1790196208.2495,0.935,2227.0,19,-420
2625,2523.2,9100.986722301117,166.61,13801.0,1790196218.0098,1790196227.0359,0.95,2283.5,18,-420
2782,2528.1,9094.818345289244,166.83,13801.0,1790196237.0003,1790196246.034,0.95,2280.0,18,-420
2932,2531.2,9087.345208812709,166.18,13036.8,1790196255.9101,1790196264.9479,0.9475,2280.0,18,-420
3090,2542.7,9071.96816028243,162.38,13036.8,1790196274.8576,1790196283.9038,0.95,2280.0,18,-420
