"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.1","1230","1237","13801","13801","13801","True","-1.9","none","49.5","7.51","52.64","45.5","46","95.2","46.23","True","1790196320.9588","1790196339.383","20.753","18.15","18.4241","0.2742","4653480445409.823","FLOP/s","True","34","38","0x0000000000000400"
"1395","1392.1","1387","1395","13801","13801","13801","True","-2.9","none","54.39","10.24","57.76","45.6","46","97.8","50.32","True","1790196349.7519","1790196366.1186","18.55","16.1017","16.3672","0.2655","5245431510126.398","FLOP/s","True","30","34","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","58.72","8.28","63.04","45.5","46","95.9","53.93","True","1790196376.3425","1790196391.1161","16.901","14.5682","14.7724","0.2041","5797579060990.66","FLOP/s","True","27","31","0x0000000000000004;0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","68.82","10.73","74.09","47.2","48","96","62.45","True","1790196401.2853","1790196414.694","15.3","13.1966","13.4089","0.2123","6400182595459.391","FLOP/s","True","25","28","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","81.77","17.67","87.6","48.8","50","98.4","73.49","True","1790196424.6146","1790196436.9369","14.237","12.1474","12.3197","0.1723","6952950290515.19","FLOP/s","True","23","26","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","95.17","9.84","104.1","51","53","92.2","85.28","True","1790196446.8855","1790196458.2669","13.641","11.1918","11.3815","0.1897","7546654995353.807","FLOP/s","True","21","25","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","102.82","33.73","109.88","52.2","53","96.8","90.6","True","1790196468.5566","1790196479.2337","12.551","10.4971","10.6771","0.18","8046099369794.402","FLOP/s","True","20","23","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","116.79","30.35","126.6","54.9","56","100","102.75","True","1790196489.16","1790196498.9992","11.978","9.6943","9.8391","0.1448","8712403202350.377","FLOP/s","True","18","22","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","137.48","27.48","153.12","58.5","61","98.4","119.96","True","1790196509.1704","1790196518.3919","11.477","9.0776","9.2197","0.1421","9304229543907.65","FLOP/s","True","17","21","0x0000000000000400"
"2625","2598.9","2580","2617","13801","13801","13801","True","-26.1","none","165.47","29.09","183.5","63.7","66","100","142.98","True","1790196528.6856","1790196537.4771","10.925","8.6445","8.7912","0.1467","9770467062038.443","FLOP/s","True","16","20","0x0000000000000400"
"2782","2606.1","2580","2760","13801","13801","13801","False","-175.9","below","166.64","35.56","183.14","64.1","67","100","144.02","True","1790196547.6615","1790196556.4631","10.934","8.6468","8.802","0.1551","9767785474576.783","FLOP/s","True","16","20","0x0000000000000400"
"2932","2605.6","2572","2752","13801","13801","13801","False","-326.4","below","167.27","41.31","183.35","64.8","67","100","144.57","True","1790196566.6297","1790196575.4322","10.898","8.6566","8.8053","0.1487","9756778183325.936","FLOP/s","True","16","20","0x0000000000000400"
"3090","2602.6","2572","2737","13801","13801","13801","False","-487.4","below","168.26","54.07","182.13","64.3","67","97.6","145.5","True","1790196585.553","1790196594.3603","10.925","8.6578","8.8076","0.1498","9755433861500.863","FLOP/s","True","16","20","0x0000000000000400"
