"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.2","1230","1237","13801","13801","13801","True","-0.8","none","34","16.7","34.96","43","43","98.9","31.15","True","1790196631.9592","1790196649.9063","20.224","17.7007","17.9468","0.2461","3388513776603.5176","FLOP/s","True","33","37","0x0000000000000400"
"1395","1392.8","1387","1395","13801","13801","13801","True","-2.2","none","37.77","24.33","38.86","41.9","42","98","34.26","True","1790196660.1591","1790196676.1318","18.586","15.7124","15.9729","0.2605","3817318517004.266","FLOP/s","True","29","34","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","39.43","21.37","40.81","41.8","42","97.4","35.36","True","1790196686.7449","1790196701.1603","16.944","14.2179","14.4145","0.1966","4218571518392.529","FLOP/s","True","26","31","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","44.84","24.39","46.58","42.6","43","98","39.56","True","1790196711.6792","1790196724.7609","15.255","12.8905","13.0811","0.1906","4652967552408.934","FLOP/s","True","24","28","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","51.74","36.57","53.16","43.6","44","97.6","45.64","True","1790196734.943","1790196746.9813","14.211","11.8655","12.0382","0.1727","5054923009574.224","FLOP/s","True","22","26","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","61.15","28.48","64.1","45.2","46","99.9","52.56","True","1790196757.1802","1790196768.2618","13.123","10.9421","11.0822","0.1401","5481519397604.239","FLOP/s","True","20","24","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","66.14","53.27","67.97","45.9","47","98.4","57.26","True","1790196778.3131","1790196788.6575","12.564","10.1875","10.3442","0.1567","5887506068184.841","FLOP/s","True","18","23","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","71.29","20.01","76.87","47","48","98.9","63.39","True","1790196798.9103","1790196808.549","12.007","9.4926","9.6385","0.1459","6318538233232.1045","FLOP/s","True","18","22","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","82.71","16.68","90.72","49.2","50","98.1","73","True","1790196818.9403","1790196827.9757","11.449","8.8938","9.0355","0.1417","6743933682168.652","FLOP/s","True","17","21","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","96.47","16.17","106.31","52.1","54","98.2","84.42","True","1790196838.428","1790196846.9171","10.939","8.3902","8.4889","0.0987","7148758921928.433","FLOP/s","True","16","20","0x0000000000000400"
"2782","2747.9","2745","2775","13801","13801","13801","False","-34.1","below","109.51","19.89","121.54","54.7","56","98","94.82","True","1790196857.3944","1790196865.4943","10.368","8.007","8.1007","0.0937","7490831983715.892","FLOP/s","True","15","19","0x0000000000000400"
"2932","2749.3","2745","2775","13801","13801","13801","False","-182.7","below","110.94","27.05","122.27","55.6","57","100","96.01","True","1790196875.8213","1790196883.9432","10.366","8.0058","8.1222","0.1164","7492002986829.834","FLOP/s","True","15","19","0x0000000000000400"
"3090","2747.7","2722","2767","13801","13801","13801","False","-342.3","below","112.49","35.65","122.49","55.9","57","97.9","97.27","True","1790196894.2358","1790196902.3539","10.379","8.0126","8.1169","0.1043","7485600862042.786","FLOP/s","True","15","19","0x0000000000000400"
