target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.2,3388.5137766035177,34.0,13801.0,1790196631.9592,1790196649.9063,0.72,1245.0,35,-420
1395,1392.8,3817.318517004266,37.77,13801.0,1790196660.1591,1790196676.1318,0.72,1350.0,32,-420
1545,1537.0,4218.571518392529,39.43,13801.0,1790196686.7449,1790196701.1603,0.725,1470.0,29,-420
1702,1695.0,4652.967552408933,44.84,13801.0,1790196711.6792,1790196724.7609,0.76,1608.5,26,-420
1852,1845.0,5054.923009574223,51.74,13801.0,1790196734.943,1790196746.9813,0.795,1777.0,24,-420
2010,2002.0,5481.519397604239,61.15,13801.0,1790196757.1802,1790196768.2618,0.84,1935.0,22,-420
2167,2160.0,5887.506068184841,66.14,13801.0,1790196778.3131,1790196788.6575,0.85,1965.0,21,-420
2317,2310.0,6318.538233232104,71.29,13801.0,1790196798.9103,1790196808.549,0.885,2085.0,19,-420
2475,2467.0,6743.933682168652,82.71,13801.0,1790196818.9403,1790196827.9757,0.93,2212.0,18,-420
2625,2617.0,7148.758921928433,96.47,13801.0,1790196838.428,1790196846.9171,0.98,2332.0,17,-420
2782,2747.9,7490.8319837158915,109.51,13801.0,1790196857.3944,1790196865.4943,1.02,2422.0,16,-420
2932,2749.3,7492.002986829834,110.94,13801.0,1790196875.8213,1790196883.9432,1.02,2422.0,16,-420
3090,2747.7,7485.6008620427865,112.49,13801.0,1790196894.2358,1790196902.3539,1.02,2422.0,17,-420
