target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.5,8408.375646020779,60.39,13801.0,1790197250.7982,1790197266.7078,0.72,1245.0,32,-420
1395,1387.0,9512.69162938626,66.36,13801.0,1790197277.3887,1790197291.4841,0.72,1327.0,28,-420
1545,1537.0,10532.123681863755,72.98,13801.0,1790197301.7616,1790197314.5162,0.72,1455.0,25,-420
1702,1695.0,11643.161859372267,85.7,13801.0,1790197325.0851,1790197336.5622,0.755,1612.0,23,-420
1852,1845.0,12676.716773644177,100.04,13801.0,1790197346.7493,1790197357.309,0.795,1792.0,21,-420
2010,2002.0,13775.017703870557,116.29,13801.0,1790197367.8904,1790197377.6272,0.84,1942.0,19,-420
2167,2160.0,14716.201198732753,128.87,13801.0,1790197387.9187,1790197397.0271,0.84,1950.0,18,-420
2317,2310.0,15936.799449474356,143.95,13801.0,1790197407.3884,1790197415.8026,0.89,2092.0,17,-420
2475,2449.0,16864.15528891107,167.82,13801.0,1790197426.2955,1790197434.2395,0.935,2235.0,16,-420
2625,2444.2,16829.956205872557,171.31,13801.0,1790197444.7027,1790197452.6491,0.935,2246.0,16,-420
2782,2446.9,16822.640200310314,172.46,13801.0,1790197463.1432,1790197471.0879,0.935,2242.0,16,-420
2932,2437.9,16815.01210322456,175.33,13801.0,1790197481.5016,1790197489.471,0.935,2242.0,15,-420
3090,2445.3,16815.0174606108,175.49,13801.0,1790197499.9063,1790197507.8529,0.93,2242.0,16,-420
