"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.2","1230","1237","13801","13801","13801","True","-1.8","none","49.14","8.35","53.38","40","41","97.4","43.67","True","1790197812.901","1790197823.7997","12.565","10.729","10.8989","0.1699","320999550097.1448","byte/s","True","20","23","0x0000000000000400"
"1395","1387","1387","1387","13079.3","810","13801","True","-8","none","50.81","8.66","56.42","41.3","42","94.4","45.3","True","1790197833.5469","1790197843.3628","11.993","9.6588","9.8164","0.1575","356565383323.9206","byte/s","True","18","22","0x0000000000000400"
"1545","1537","1537","1537","12989.1","810","13801","True","-8","none","56.52","9.42","61.28","42.6","43","93.8","49.59","True","1790197853.5761","1790197862.5346","10.937","8.8141","8.9577","0.1436","390738366173.7112","byte/s","True","16","20","0x0000000000000400"
"1702","1695","1695","1695","12934.9","810","13801","True","-7","none","61.94","8.48","67.65","44","45","93.3","53.7","True","1790197872.5943","1790197880.8733","10.394","8.1417","8.2788","0.1371","423007828113.4028","byte/s","True","15","19","0x0000000000000400"
"1852","1845","1845","1845","12934.9","810","13801","True","-7","none","63.42","10.93","71.76","45.3","46","93.3","55.31","True","1790197891.0335","1790197899.3246","10.345","8.1317","8.2908","0.1591","423527816265.59216","byte/s","True","15","19","0x0000000000000400"
"2010","1994.9","1987","2002","13801","13801","13801","True","-15.1","none","65.31","10.49","72.63","46.3","47","95.7","56.85","True","1790197909.399","1790197917.6779","10.347","8.1264","8.2788","0.1524","423804044429.16156","byte/s","True","15","19","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","69.83","19.02","76.31","47.5","48","95.5","61.2","True","1790197927.8135","1790197936.0861","10.351","8.1238","8.2727","0.1489","423939321727.3829","byte/s","True","15","19","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","75.94","25.08","82.97","49.2","50","96.4","66.05","True","1790197946.2077","1790197954.4835","10.365","8.1228","8.2758","0.153","423991972319.8958","byte/s","True","15","19","0x0000000000000400"
"2475","2467","2467","2467","13347.7","7001","13801","True","-8","none","84.28","23.21","91.14","51.1","52","93","74.87","True","1790197964.6089","1790197972.8989","10.415","8.1412","8.2897","0.1485","423035693821.00854","byte/s","True","15","19","0x0000000000000400"
"2625","2598.9","2595","2610","13347.7","7001","13801","True","-26.1","none","87.26","25.1","97.31","52.9","54","91.7","77.9","True","1790197983.2047","1790197991.4833","10.395","8.1362","8.2791","0.143","423294240971.31494","byte/s","True","15","19","0x0000000000000400"
"2782","2598.8","2595","2610","13347.7","7001","13801","False","-183.2","below","86.33","25.28","96.96","51.5","52","92.6","77.03","True","1790198001.5844","1790198009.859","10.375","8.1282","8.2736","0.1454","423710249805.87427","byte/s","True","15","19","0x0000000000000400"
"2932","2606.3","2602","2610","13801","13801","13801","False","-325.7","below","88.15","25.05","96.6","50.1","51","93.5","78.61","True","1790198019.9512","1790198028.2115","10.353","8.1173","8.2604","0.1431","424277111692.5209","byte/s","True","15","19","0x0000000000000400"
"3090","2606.8","2602","2610","13801","13801","13801","False","-483.2","below","88.2","28.19","96.33","49.5","50","96.1","78.6","True","1790198038.3642","1790198046.6142","10.326","8.1193","8.2561","0.1368","424176122557.1421","byte/s","True","15","19","0x0000000000000400"
