"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.8","1230","1237","13801","13801","13801","True","-1.2","none","56.35","8.06","61.79","40.8","41","95.7","49.72","True","1790198350.5425","1790198360.3837","12.027","9.7085","9.8415","0.133","197389033207.84354","FLOP/s","True","18","22","0x0000000000000400"
"1395","1387","1387","1387","13036.8","810","13801","True","-8","none","57.93","8.9","64.22","40.7","41","94.1","51.22","True","1790198370.6613","1790198380.0173","11.476","9.2173","9.3561","0.1388","207907217962.4624","FLOP/s","True","17","21","0x0000000000000400"
"1545","1537","1537","1537","12989.1","810","13801","True","-8","none","63.33","8.62","68.82","40.9","42","93.8","55.46","True","1790198390.1645","1790198399.2088","10.96","8.903","9.0437","0.1407","215247477859.10065","FLOP/s","True","16","20","0x0000000000000400"
"1702","1695","1695","1695","12989.1","810","13801","True","-7","none","67.77","9.74","73.74","41.6","42","92.9","59.39","True","1790198409.1993","1790198418.0432","10.912","8.6951","8.843","0.1479","220393093416.58444","FLOP/s","True","16","20","0x0000000000000400"
"1852","1845","1845","1845","12989.1","810","13801","True","-7","none","71.39","11.07","80.32","42.2","43","93.8","61.78","True","1790198428.1217","1790198436.8046","10.345","8.5523","8.6828","0.1305","224072423193.24094","FLOP/s","True","16","19","0x0000000000000400"
"2010","1976.4","1972","1987","13801","13801","13801","False","-33.6","below","73.43","12.03","80.88","42.5","43","95.3","63.64","True","1790198446.5222","1790198455.153","10.36","8.4831","8.6306","0.1475","225901546199.87994","FLOP/s","True","16","19","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","79.7","15.51","87.7","43.4","44","97.2","68.77","True","1790198464.9419","1790198473.4479","10.369","8.3684","8.506","0.1377","228998314620.601","FLOP/s","True","16","19","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","86.66","24.57","94.45","44.3","45","94.4","74.95","True","1790198483.3367","1790198491.7852","10.388","8.2988","8.4493","0.1505","230918707164.50296","FLOP/s","True","15","19","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","96.8","39.58","103.96","46.2","47","98.5","85.19","True","1790198501.7801","1790198510.1512","10.343","8.2397","8.3713","0.1315","232574263483.8393","FLOP/s","True","15","19","0x0000000000000400"
"2625","2603.5","2602","2617","13347.7","7001","13801","True","-21.5","none","101.72","23.68","112.72","47.1","48","93.3","89.84","True","1790198520.1563","1790198528.4849","10.388","8.1993","8.3289","0.1296","233721426098.09814","FLOP/s","True","15","19","0x0000000000000400"
"2782","2603.5","2602","2625","13814.3","13801","14001","False","-178.5","below","101.25","23.94","113.18","48","49","93.4","89.18","True","1790198538.573","1790198546.916","10.38","8.1995","8.3434","0.1439","233714280066.3259","FLOP/s","True","15","19","0x0000000000000400"
"2932","2603.5","2602","2625","13801","13801","13801","False","-328.5","below","102.41","24.49","113.19","48.4","50","95.1","89.95","True","1790198557.0139","1790198565.3618","10.406","8.2004","8.3503","0.1499","233688282119.25433","FLOP/s","True","15","19","0x0000000000000400"
"3090","2603.5","2602","2625","13801","13801","13801","False","-486.5","below","103.13","28.8","113.31","49","50","96.5","91.17","True","1790198575.4674","1790198583.8139","10.328","8.2001","8.3515","0.1514","233696512371.59933","FLOP/s","True","15","19","0x0000000000000400"
