"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","13801","13801","13801","True","-1","none","44.7","33.68","45.57","43.3","44","98.1","41.12","True","1790200384.5958","1790200402.946","20.721","18.0969","18.348","0.2511","2862479258199.346","FLOP/s","True","34","38","0x0000000000000400"
"1395","1387","1387","1387","13801","13801","13801","True","-8","none","47.79","26.45","49.34","43.7","44","97.6","43.64","True","1790200413.3103","1790200429.6574","19.01","16.0832","16.3435","0.2603","3220889313019.371","FLOP/s","True","30","35","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","57","29.62","59.07","44.7","45","98.2","51.09","True","1790200440.3115","1790200455.0222","17.411","14.5036","14.709","0.2054","3571679194224.5776","FLOP/s","True","27","32","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","66.51","35.51","69.48","46.3","47","98","59.1","True","1790200465.7363","1790200479.1344","15.796","13.1667","13.3967","0.23","3934316742415.0425","FLOP/s","True","24","29","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","79.16","48.39","82.25","48","49","95.9","69.72","True","1790200489.5455","1790200501.8393","14.732","12.0969","12.2933","0.1964","4282257562300.956","FLOP/s","True","22","27","0x0000000000000400"
"2010","1995.3","1995","2002","13801","13801","13801","True","-14.7","none","83.24","32.19","87.09","49.6","50","100","72","True","1790200512.2899","1790200523.7803","13.632","11.3068","11.4833","0.1765","4581495523634.909","FLOP/s","True","21","25","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","96.68","66.42","100.08","51.5","53","97.5","83.43","True","1790200533.9356","1790200544.4596","13.048","10.3319","10.5257","0.1939","5013811991176.943","FLOP/s","True","19","24","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","112.86","64.85","117.65","54.3","56","98.4","95.24","True","1790200555.0324","1790200564.8395","11.983","9.6583","9.8016","0.1434","5363503149497.979","FLOP/s","True","18","22","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","136.45","80.58","146.28","58.8","61","97.7","115.42","True","1790200575.0049","1790200584.2087","11.438","9.0472","9.1957","0.1485","5725746303152.863","FLOP/s","True","16","21","0x0000000000000400"
"2625","2558.9","2557","2580","13801","13801","13801","False","-66.1","below","153.16","87.42","161.8","62.1","64","96.9","127.98","True","1790200594.4874","1790200603.3733","10.905","8.7405","8.886","0.1455","5926709538650.813","FLOP/s","True","16","20","0x0000000000000400"
"2782","2558","2557","2565","13801","13801","13801","False","-224","below","154.58","99.81","161.93","62.4","65","95.9","129.42","True","1790200613.4365","1790200622.3235","10.923","8.7457","8.8902","0.1445","5923174116326.848","FLOP/s","True","16","20","0x0000000000000400"
"2932","2558.4","2557","2572","13801","13801","13801","False","-373.6","below","155.67","102.76","162.5","63.2","65","96.9","131.8","True","1790200632.4186","1790200641.3115","11.399","8.7468","8.8946","0.1478","5922417364706.277","FLOP/s","True","16","21","0x0000000000000400"
"3090","2558","2557","2565","13801","13801","13801","False","-532","below","156.26","101.45","162.89","63.9","65","98.5","131.3","True","1790200651.8774","1790200660.7569","10.89","8.7456","8.8805","0.1349","5923216175044.551","FLOP/s","True","16","20","0x0000000000000400"
