target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.0,2862.479258199346,44.7,13801.0,1790200384.5958,1790200402.946,0.72,1320.0,36,-420
1395,1387.0,3220.889313019371,47.79,13801.0,1790200413.3103,1790200429.6574,0.72,1440.0,32,-420
1545,1537.0,3571.6791942245777,57.0,13801.0,1790200440.3115,1790200455.0222,0.755,1605.0,29,-420
1702,1695.0,3934.3167424150424,66.51,13801.0,1790200465.7363,1790200479.1344,0.8,1785.0,26,-420
1852,1845.0,4282.257562300956,79.16,13801.0,1790200489.5455,1790200501.8393,0.84,1942.0,25,-420
2010,1995.3,4581.495523634909,83.24,13801.0,1790200512.2899,1790200523.7803,0.84,1942.0,23,-420
2167,2160.0,5013.811991176944,96.68,13801.0,1790200533.9356,1790200544.4596,0.885,2085.0,21,-420
2317,2310.0,5363.5031494979785,112.86,13801.0,1790200555.0324,1790200564.8395,0.93,2212.0,20,-420
2475,2467.0,5725.746303152863,136.45,13801.0,1790200575.0049,1790200584.2087,0.985,2340.0,18,-420
2625,2558.9,5926.709538650814,153.16,13801.0,1790200594.4874,1790200603.3733,1.02,2415.0,18,-420
2782,2558.0,5923.174116326848,154.58,13801.0,1790200613.4365,1790200622.3235,1.02,2415.0,17,-420
2932,2558.4,5922.417364706277,155.67,13801.0,1790200632.4186,1790200641.3115,1.02,2415.0,18,-420
3090,2558.0,5923.216175044551,156.26,13801.0,1790200651.8774,1790200660.7569,1.02,2415.0,18,-420
