"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1230","1230","1230","13079.3","810","13801","True","-7","none","52.17","11.7","58.29","42.9","43","94.3","46.37","True","1790200997.5333","1790201007.1819","11.381","9.5169","9.6488","0.1319","335403321022.65674","byte/s","True","18","21","0x0000000000000400"
"1395","1387","1387","1387","12989.1","810","13801","True","-8","none","55.96","11.61","61.75","42.2","43","93.8","49.32","True","1790201016.9672","1790201025.6895","10.888","8.5898","8.7302","0.1404","371603097158.0878","byte/s","True","16","20","0x0000000000000400"
"1545","1537","1537","1537","12989.1","810","13801","True","-8","none","59.09","12.15","65.45","41.9","43","93.8","51.7","True","1790201035.911","1790201044.5371","10.377","8.4838","8.6327","0.149","376248568853.15454","byte/s","True","16","19","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","63.1","18.05","68.8","42.4","43","95","55.92","True","1790201054.3178","1790201062.9318","10.313","8.4613","8.6129","0.1517","377249019312.3101","byte/s","True","16","19","0x0000000000000400"
"1852","1823.5","1822","1830","13801","13801","13801","True","-28.5","none","64.13","25.02","69.13","42.2","43","94.3","56.81","True","1790201072.678","1790201081.3085","10.312","8.4619","8.6309","0.169","377219457003.2902","byte/s","True","16","19","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","69.57","35","73.54","42.9","43","100","61.6","True","1790201091.026","1790201099.5993","10.373","8.4486","8.5793","0.1307","377816266954.90485","byte/s","True","16","19","0x0000000000000400"
"2167","2160","2160","2160","13376","7001","13801","True","-7","none","71.38","20.86","78.25","43.2","44","93.8","63.41","True","1790201109.4312","1790201118.0369","10.375","8.4471","8.6061","0.159","377879153252.44836","byte/s","True","16","19","0x0000000000000400"
"2317","2310","2310","2310","13813.5","13801","14001","True","-7","none","78.19","23.05","85.9","44.1","45","93.8","69.48","True","1790201127.8736","1790201136.4773","10.324","8.4468","8.6043","0.1576","377896698953.8436","byte/s","True","16","19","0x0000000000000400"
"2475","2452.9","2452","2467","13801","13801","13801","True","-22.1","none","84.91","30.31","91.88","45.1","46","96.9","75.55","True","1790201146.2486","1790201154.8213","10.373","8.4416","8.5714","0.1298","378126894410.7825","byte/s","True","16","19","0x0000000000000400"
"2625","2452.5","2452","2460","13801","13801","13801","False","-172.5","below","85.66","35.01","91.94","45.4","46","93.8","76.18","True","1790201164.6623","1790201173.2249","10.335","8.4451","8.5664","0.1213","377971928621.6944","byte/s","True","16","19","0x0000000000000400"
"2782","2452","2452","2452","13801","13801","13801","False","-330","below","86.51","42.87","92.05","45.8","46","98.6","76.9","True","1790201183.0536","1790201191.6492","10.376","8.4458","8.5923","0.1466","377940879106.12286","byte/s","True","16","19","0x0000000000000400"
"2932","2453.4","2452","2475","13376","7001","13801","False","-478.6","below","85.85","25.74","92.1","45.6","46","93.5","76.78","True","1790201201.4727","1790201210.2216","10.883","8.6076","8.75","0.1425","370836105648.8676","byte/s","True","16","20","0x0000000000000400"
"3090","2453.4","2452","2475","13401","7001","13801","False","-636.6","below","82.3","26.28","90.5","45.6","46","93.4","74.54","True","1790201220.4625","1790201229.5463","11.286","8.9478","9.0828","0.1351","356736866193.58453","byte/s","True","17","21","0x0000000000000400"
